button_name,component_path_id,game_object_id,hierarchy_path,unity_object_path,parent_rect_id,parent_name,sibling_index,screen_x,screen_y,raycast_top_object,raycast_top_kind,target_graphic_component_path_id,target_graphic_raycast_target,click_raycast_clickable,click_invoked,lua_module,lua_handler_reported,lua_handler_resolved,lua_confidence_reported,handler_correction,handler_raw_line,navigation_kind,target_key,target_ui_form,target_lua_module_bundle,target_lua_textasset_path_id,target_lua_textasset_output,target_prefab_bundle,target_prefab_root_name,target_prefab_root_path_id,target_prefab_game_object_id,target_prefab_resolved,resolved_confidence,source_evidence
btn_act,-7481061962792381934,4464877392471899717,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/left_node_face_btn(1861898826191704551)/btn_face_item_7(8780490937826274486)/btn_act(592699714808975310),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/left_node_face_btn(1861898826191704551)/btn_face_item_7(8780490937826274486)/btn_act(592699714808975310),8780490937826274486,btn_face_item_7,4,647.559,516.344,btn_act,Button,8213429611445200947,1,1,1,UI_MainPageActItem,inline_function,inline_UI_MainPageActItem,candidate_module_and_target,,"self._bicoms[""btn_act""].onClick:AddListener(function(e)",runtime_activity,runtime.ActMgr.CheckJumpViewById,,,,,,,,,0,handler_runtime_target,UI_MainPageActItem lines 24-35 choose actId/mainPageTouchJumpId then UI_ActRallyRoot or ActMgr:CheckJumpViewById
p_chat_private_head,-8804151756104759869,-6650442623983403701,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/liaotian(5395517689795111462)/p_chat_private(2083186999486108191)/head_yuan150(-1074189520482543941)/im_mask(-4317103581640901762)/p_chat_private_head(3355289806251441275),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/liaotian(5395517689795111462)/p_chat_private(2083186999486108191)/head_yuan150(-1074189520482543941)/im_mask(-4317103581640901762)/p_chat_private_head(3355289806251441275),-4317103581640901762,im_mask,0,664.24,491.927,p_chat_private_head,Button,7761132262403761647,1,1,1,,,unknown,missing,,,unknown,unknown,,,,,,,,,0,unknown,No decoded Lua handler/target evidence resolved for this active button.
wanfaBtn,1037335828034283471,-1989194518598755751,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/wanfaBtn(-2510216933665100986),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_4(7836085562230756963)/wanfaBtn(-2510216933665100986),7836085562230756963,UI_Main_wanfa_item_4,8,1221.038,542.549,wanfaBtn,Button,-7870406640315514268,1,1,1,UI_MainPage,onBtnAdventure,onBtnActJump,candidate_module_and_target,hierarchy override: UI_Main_wanfa_item_4 wanfaBtn,"e[""wanfaBtn""].onClick:AddListener(onBtnAdventure)",runtime_activity,runtime.ActMgr.JumpViewById,,,,,,,,,0,handler_runtime_target,UI_MainPage lines 2863-2866 call MainPageLimitMgr:GetCanMainActivityJump() then ActMgr:JumpViewById(activityId)
autoHelper_Root,2191740874683137950,7146817651936697072,UI_MainInterface(5568884429252053541)/autoHelper_Root(-7066683132857930382),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/autoHelper_Root(-7066683132857930382),5568884429252053541,UI_MainInterface,12,949.921,671.561,autoHelper_Root,Button,5131659503597955159,1,1,1,UI_MainPage,onClickDownAutoHelper|onClickUpAutoHelper|OnBeginDragAutoHelper|onDragingAutoHelper|OnEndDragAutoHelper,autoHelper_Root_touch,module_and_target,,"UIUtil.AddTouchEventMulti(autoHelper_Root.transform,onClickDownAutoHelper,onClickUpAutoHelper,OnBeginDragAutoHelper,onDragingAutoHelper,OnEndDragAutoHelper)",touch_ui,ui.UI_AutoHelper_Main,UI_AutoHelper_Main,download/xlualogic/modules/autohelper.assetbundle,-7669799324359761797,extracted/unity/bundles/b_a6bff76cde8adb70/textassets/-7669799324359761797_UI_AutoHelper_Main.txt,,,,,0,direct_ui_form_touch,UI_MainPage touch handlers are bound at OnInit; lines 2935-2937 open UI_AutoHelper_Main on click-up path
worldwanfaBtn,3284133529664903522,2331390164297400090,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/worldwanfaBtn(3512211464843089861),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/wanfaWorldNode(-3820167396480157270)/worldwanfaBtn(3512211464843089861),-3820167396480157270,wanfaWorldNode,0,1155.02,593.953,worldwanfaBtn,Button,4634358241626153568,,1,1,UI_MainPage,onBtnWorld,onBtnWorld,module_and_target,,worldwanfaBtn.onClick:AddListener(onBtnWorld),jump_ui,jump.OnGameJumpUIIdle,,,,,,,,,0,handler_only_target_unknown,UI_MainPage lines 2896-2897 call JumpMgr.OnGameJumpUIIdle(); target UIFormId was not found in decoded Lua
btn_huodong3,3330313982570494710,-8898990290885223385,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/leftbannerNode(-5279177717507701307)/huodong3(-6610370912035301878)/Viewport(4940853044098671873)/Content(-2208969483977481988)/btn_huodong3(6337183432698321669)/btn_huodong3(8701171759318614374),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/leftbannerNode(-5279177717507701307)/huodong3(-6610370912035301878)/Viewport(4940853044098671873)/Content(-2208969483977481988)/btn_huodong3(6337183432698321669)/btn_huodong3(8701171759318614374),6337183432698321669,btn_huodong3,2,707.53,673.577,btn_huodong3,Button,-2434523498458532451,1,1,1,UI_MainPage,multiline_or_empty,btn_huodong3_toggle,candidate_module_and_target,,"a[""btn_huodong3""].onClick:AddListener(",local_state,local.toggle_activity_banner_desc,,,,,,,,,0,local_action,UI_MainPage lines 2120-2142 anonymous btn_huodong3 listener toggles banner desc nodes; no page navigation
btn_watch,4133205024024200070,-8375462091806675529,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/topBtnGroup(-7712490274125866640)/btn_watch(5992350593342672181),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/topBtnGroup(-7712490274125866640)/btn_watch(5992350593342672181),-7712490274125866640,topBtnGroup,4,891.271,729.466,btn_watch,Button,-7047762510004683518,1,1,1,UI_MainPage,onBtnWatch,onBtnWatch,module_and_target,,btn_watch.onClick:AddListener(onBtnWatch),local_state,local.playWatchAction,,,,,,,,,0,local_action,UI_MainPage lines 2725-2735 call playWatchAction() and FunctionHandBook check; no direct page open
bg_juese,4730878405889040423,-3618791806314478432,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/bg_juese(8924767933396413025),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/bg_juese(8924767933396413025),-7709903567246479490,left,0,729.074,748.011,bg_juese,Button,3770989728908059935,1,1,1,UI_MainPage,onBtnHead,onBtnHead,module_and_target,,bg_juese.onClick:AddListener(onBtnHead),open_ui_form,ui.UI_SystemSet,UI_SystemSet,download/xlualogic/modules/maininterface.assetbundle,412370137018619402,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/412370137018619402_UI_SystemSet.txt,download/ui/uiprefabandres/maininterface.assetbundle,UI_SystemSettings,-6416344286478723216,4945632583473714809,1,direct_ui_form,UI_MainPage lines 2679-2680: GameEntry.UI:OpenUIForm(UIFormId.UI_SystemSet)
btn_temporary_buff,4965781024685974967,1042351082711302837,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/btn_temporary_buff(-4503624219808831110),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/btn_temporary_buff(-4503624219808831110),-7709903567246479490,left,4,790.984,490.088,im_temporary_buff_bg,RaycastGraphic,-7963612305674118365,,1,1,UI_MainPage,OnBtnOpenTemporaryBuffView,OnBtnOpenTemporaryBuffView,module_and_target,,btn_temporary_buff.onClick:AddListener(OnBtnOpenTemporaryBuffView),open_ui_form,ui.UI_ActGroupPhoto_Gold_Buff,UI_ActGroupPhoto_Gold_Buff,download/xlualogic/modules/act.assetbundle,-3619313539221397214,extracted/unity/bundles/b_3be6aee9578293af/textassets/-3619313539221397214_UI_ActGroupPhoto_Gold_Buff.txt,,,,,0,direct_ui_form,UI_MainPage lines 3116-3117: GameEntry.UI:OpenUIForm(UIFormId.UI_ActGroupPhoto_Gold_Buff)
btn_jiantou2,5988663256395336278,6830554979058694942,UI_MainInterface(5568884429252053541)/mask(-9138204023542992015)/btn_jiantou2(1516559955701054074),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/mask(-9138204023542992015)/btn_jiantou2(1516559955701054074),-9138204023542992015,mask,1,1047.678,625.198,boxcollider,RaycastTransparentCandidate,-7755257556723208824,0,1,1,UI_MainPage,onBtnRight,onBtnRight,module_and_target,,btn_right.onClick:AddListener(onBtnRight),local_state,local.changeBg.next,,,,,,,,,0,local_action,UI_MainPage lines 2792-2796 call changeBg(-1); no page navigation
btn_download,6415220684686472273,3530973241627263491,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/btn_download(7328067398302382935),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/btn_download(7328067398302382935),-7709903567246479490,left,2,856.196,448.814,btn_download,Button,-6588721804605270596,,1,1,UI_MainPage,OnShowBgDownload,OnShowBgDownload,module_and_target,,btn_download.onClick:AddListener(OnShowBgDownload),event_ui,event.CommonEventId.OnShowBgDownload,UI_PlayBgDownload,download/xlualogic/modules/playdownload.assetbundle,3253065118339144427,extracted/unity/bundles/b_e27ecc8046de3c32/textassets/3253065118339144427_UI_PlayBgDownload.txt,download/ui/uiprefabandres/playdownload.assetbundle,UI_PlayBgDownload,5081420312097721427,-4626492016904707215,1,event_candidate_ui_form,UI_MainPage lines 2809-2810 send CommonEventId.OnShowBgDownload; line 753 checks UI_PlayBgDownload existence
btn_jia,7055630172268697173,5241932117497468386,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/UI_currency(668535029315576181)/btn_jia(-800376319068591096),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/right(6922878451781464554)/UI_currency(668535029315576181)/btn_jia(-800376319068591096),668535029315576181,UI_currency,1,1164.595,768.824,boxcollider,RaycastTransparentCandidate,1176122563545902505,0,1,1,UI_MainPage,onBtnAddGold,onBtnAddGold,module_and_target,,btn_jia_gold.onClick:AddListener(onBtnAddGold),open_ui_form,ui.UI_GoldChange,UI_GoldChange,download/xlualogic/modules/maininterface.assetbundle,-2389654533681329655,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-2389654533681329655_UI_GoldChange.txt,,,,,0,direct_ui_form,UI_MainPage lines 2737-2738: GameEntry.UI:OpenUIForm(UIFormId.UI_GoldChange)
funhandbook_Btn,8528581955237474686,-2999821594012199392,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/funcsBtnOpt(-957505502039124638)/im_funhandbook_bg(7845553199416412129)/funhandbook_Btn(8842433322768858449),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/funcsBtnOpt(-957505502039124638)/im_funhandbook_bg(7845553199416412129)/funhandbook_Btn(8842433322768858449),7845553199416412129,im_funhandbook_bg,2,722.144,716.766,funhandbook_Btn,Button,1077415355012033400,1,1,1,UI_MainPage,onBtnFunHandBook,onBtnFunHandBook,module_and_target,,funhandbook_Btn.onClick:AddListener(onBtnFunHandBook),open_ui_form,ui.UI_FunctionHandBook_Root,UI_FunctionHandBook_Root,download/xlualogic/modules/functionhandbook.assetbundle,3845432177318840878,extracted/unity/bundles/b_61f357fb1a744117/textassets/3845432177318840878_UI_FunctionHandBook_Root.txt,,,,,0,direct_ui_form,UI_MainPage lines 2767-2770 request FunctionHandBookMgr info then OpenUIForm(UI_FunctionHandBook_Root)
faceGiftNode,9152972273217061488,-7598825571058636272,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/faceGiftNode(2915645714390258269),MainInterface_Wireframe/UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/faceGiftNode(2915645714390258269),-7709903567246479490,left,10,683.169,587.401,im_face_icon,RaycastTransparentCandidate,-7685068270831037112,1,1,1,UI_MainPage,inline_function,inline_faceGiftNode,module_and_target,,faceGiftNode.onClick:AddListener(function(),runtime_activity,runtime.ActMgr.CheckJumpViewById.FaceGiftManager.ACT_ID,,,,,,,,,0,handler_runtime_target,"UI_MainPage lines 157-158 call ActMgr:CheckJumpViewById(ModulesInit.FaceGiftManager.ACT_ID,{isOpenFrame=true})"
