bundle,class,export_dir,parse_status,object_count,used_offset,size,type_counts,image_count,image_samples
download/ui/uifont/japanese/tmp/riyu_hui_zhuanyong_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_959e98dddcca4d5e,,5,0,177516,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/3297096991741228599_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_lan_0.1_0.1.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a03d0c805012e432,,5,0,322854,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/4961210685565786299_riyushufazi Atlas.png
download/ui/uifont/japanese/tmp/riyu_lu_5_167_16_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_417cb90582840c05,,5,0,64362,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/5171549623450104733_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_lu_65_105_36_0.4_0.4.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_9fa6e9598b93ce06,,5,0,21446,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-8117430079752796813_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_lu_shadow.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_1b370ab4d39fb890,,5,0,30329,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-9156153975077770064_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_pink.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_8f1b92df8e49085e,,5,0,79395,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-1155578180155958327_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_pink_shadow.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_2ca85ff93d4bb139,,5,0,21537,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/4014046132394271427_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_3ca1fc131a9baad1,,5,0,528676,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/569021843135281428_riyushufazi Atlas.png
download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2_baitouying.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7bc85b4eff400ef5,,5,0,62273,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-4954314468757534774_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_touying_209_133_17.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_489d12faeb075767,,6,0,54763,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 2}",2,images/T/2862329388108680998_riyu Atlas 1.png;images/T/4412530042791193226_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_wubain.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_cc1c02c69707a06b,,5,0,311853,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/7486287596602507013_riyushufazi Atlas.png
download/ui/uifont/japanese/tmp/riyu_zi_dazei.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_0cea916476886d6d,,5,0,26739,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-6698996788094412714_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_zong_xi.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_13084bf6cec4130f,,5,0,321922,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-5695821900670019514_riyu_zong_xi Atlas.png
