source,relative_path,size,sha256,coverage_status,covered_by,action
com.girlwars.kr,files/build/download/config/hero.zip,1739070,fb096c43b39edcaa6d646ef9d16abf16f7c7474b258358bec9cf1ad6039fb4ba,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\hero.zip,winner_sha256=ae8338cd332be8404230b32e37686f9b5e9ce8de3bb850e0a135807d50fa17c1
com.girlwars.kr,files/build/download/config/item.zip,3066355,00fb3db45b412dcacb20ec3184a5244096d07ed3e3640ab59f04456d1ae226ec,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\item.zip,winner_sha256=0bdf61b854b03ff6434578129670eb5149e443f55781104c85e449eddd729376
com.girlwars.kr,files/build/download/config/list.assetbundle,1792,3642fab4e706646597c7a5fef9f1d49333de7caef97a0d96c6da7a296dded38e,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\list.assetbundle,winner_sha256=bb1f28189bf300c49f7c6b3d6864c4ce8db749a807e0b30de9722ca52c6dde16
com.girlwars.kr,files/build/download/config/maps.zip,23003018,3a86992f93c6323bf6970fa95e2929ec446ab45092edec17fbaf0de222efb7e9,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\maps.zip,
com.girlwars.kr,files/build/download/config/monster.zip,6526531,56e7eeb1df04691946e62c295c6d1eb5457aed7bffb31ebeeea5400736bd665c,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\monster.zip,
com.girlwars.kr,files/build/download/config/quest.zip,4369720,bd38f0e8223e2b318a0e184e9e29252da7ca879976ea9755e4e08c7ecd39cf77,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\quest.zip,
com.girlwars.kr,files/build/download/config/skillact.zip,908955,31808baeb374a09f9bbe4c5ab544176d60000c086802ae78b1a31e732f31d428,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\skillact.zip,winner_sha256=0ddc1328c4d1cddb3b59daedeaedd7ddf90411715f16c209ee04b19a20e4c16b
com.girlwars.kr,files/build/download/config/story.zip,4724177,ff78f1d21586223b8c6c3c52fed927e6cfffd720d7802248d5cb2adb428bbb80,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\story.zip,winner_sha256=7ffa5469a9012ac91fac4d194514c1753affe91a041b56373f391306038e36f7
com.girlwars.kr,files/build/download/config/summonpet.zip,59628,22be8ed0d02560c74f55eb3f1622ac322e61dd2f4c3a91d0f17579f6170158dc,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\summonpet.zip,winner_sha256=548e822ac37653dbaba15817b76f1d22fa24fc47c260f43e9e33128c3222d454
com.girlwars.kr,files/build/download/config/sys.zip,1354885,65d168ff5653555590116b8338a52b6c31aeee92f0d4f1b2e7d6738c86751036,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\sys.zip,winner_sha256=f82cf2c22ad05e16b4015381f5ad643d56dcd494d983230b247b00606a38c39a
com.girlwars.kr,files/build/download/config/treasure.zip,724284,369dc4ced4aba16169365ad54b9c444867c1c03e9932bf19998710fb227d1da9,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\treasure.zip,winner_sha256=f6fc173b567fe42dded3a7b61b3c7eaba74ed16efc0a4dbc5dfc7fd192e8c7ce
com.girlwars.kr,files/build/download/config/underwear.zip,246315,766f53e1857ad52fe5513e031c65f8854350703c29cefd4eec2342c05d70173d,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\config\underwear.zip,
com.girlwars.kr,files/build/download/datatable/sys.assetbundle,378966,72995a57d57d27f90a29cf495fc86f81b765a659a0333258ae3f06f6ab4b2813,covered_by_newer_duplicate,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\datatable\sys.assetbundle,winner_sha256=a673f33ecf035423fc3870983873c29c5c3ba84ec82fdd433fbe45c0886e31f5
com.girlwars.kr,files/build/download/live2d/1043.assetbundle,8321689,0646905e8a53a412eb9f912a91b60f02d0102a01dba494fb989471b998f3f63b,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\live2d\1043.assetbundle,
com.girlwars.kr,files/build/download/live2d/1043_ext_prefab.assetbundle,136494,8a7a8d4a0362279c9130a748dbbbe5aa2ad5f3f1523ccd64df7d0b23c2112816,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\live2d\1043_ext_prefab.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1001.assetbundle,443995,fa83de46a9bfc12fe9c9dccccbe12755596b177897e44aeb1310c563d6df5229,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1001.assetbundle,
