rank,hierarchy_path,active_in_hierarchy,sibling_index,component_type,mono_behaviour_types,missing_script_count_on_object,canvas_sorting_order,canvas_override_sorting,canvas_render_mode,screen_min_x,screen_min_y,screen_max_x,screen_max_y,screen_pixel_area,screen_whiteish_pixel_count,screen_whiteish_ratio,sprite_name,sprite_local_id,sprite_texture_name,sprite_texture_width,sprite_texture_height,sprite_rect_x,sprite_rect_y,sprite_rect_width,sprite_rect_height,material_name,material_local_id,shader_name,render_queue,material_for_rendering_name,material_for_rendering_shader_name,color,alpha,raycast_target,image_type,preserve_aspect,fill_center,fill_method,fill_amount,fill_clockwise,fill_origin,pixels_per_unit_multiplier,reason_class,original_hierarchy_path,was_missing_before_join,join_missing_ref,join_sprite_name,join_sprite_bundle,join_sprite_png,join_confidence,final_reason_class,source_png_exists,source_png_width,source_png_height,source_alpha_ratio,source_opaque_ratio,source_opaque_white_ratio,source_bright_alpha_ratio,source_avg_rgba_alpha_pixels
11,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/img_award_preheat,1,4,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,739.061,77.667,917.061,352.333,49404,49404,1.0000,T_yanchangx,123545261,,0,0,0,0,267,412,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/img_award_preheat,1,missing#53256,T_yanchangx,download/artsources/uispriteres/uiguild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\5442454674963506861_T_yanchangx.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,267,412,0.8573,0.8220,0.1723,0.2154,"176.1,142.5,176.0,245.9"
12,UI_GuildMain_NavigationPrototype/middle/node_gonggao/gongao_bg/gonggaoMask,1,2,UnityEngine.UI.Image,UnityEngine.UI.Image;UnityEngine.UI.Mask,0,0,0,WorldSpace,96.667,359.133,646.667,400.867,23142,23142,1.0000,,0,,0,0,0,0,0,0,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Replace, Comp:Always, WriteMask:255, ReadMask:255, ColorMask:0 AlphaClip:True (Default UI Material)",UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,no_sprite,UI_GuildMain/middle/node_gonggao/gongao_bg/gonggaoMask,1,,,,,unresolved,runtime_bound,,,,,,,,
13,UI_GuildMain_NavigationPrototype/middle/node_gonggao/gongao_bg,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,-13.333,366.667,653.333,393.333,18312,17136,0.9358,T_Marquee_Bg_1,-152437774,,0,0,0,0,92,43,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,0,Sliced,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/node_gonggao/gongao_bg,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
14,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/bg_ditu,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,-107.605,77.667,70.395,352.333,19596,11448,0.5842,T_juntuanshilian,-2054241822,,0,0,0,0,267,412,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/bg_ditu,1,missing#53260,T_juntuanshilian,download/artsources/uispriteres/uiguild.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\7184576713228992994_T_juntuanshilian.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,261,412,0.8835,0.8400,0.1832,0.2604,"178.9,171.7,156.6,244.8"
15,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/p_open/llv_skycity_self_city/Viewport,1,1,UnityEngine.UI.Image,UnityEngine.UI.Image;UnityEngine.UI.Mask,0,0,0,WorldSpace,585.395,74.333,738.728,134.333,9394,9394,1.0000,UIMask,-1902620975,UIMask,32,32,0,0,32,32,Default UI Material,0,UI/Default,3000,"Stencil Id:3, Op:Replace, Comp:Equal, WriteMask:3, ReadMask:1, ColorMask:0 AlphaClip:True (Default UI Material)",UI/Default,FFFFFFFF,1,1,Sliced,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/p_open/llv_skycity_self_city/Viewport,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
16,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/box,1,6,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,151.695,109.2,240.428,178.133,6300,6300,1.0000,wjczbx3,1969746902,,0,0,0,0,242,188,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/box,1,missing#53202,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,217,151,0.5354,0.4870,0.0379,0.0619,"159.8,164.1,162.5,237.6"
17,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/Boxicon,1,6,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,321.695,109.2,410.428,178.133,6300,6300,1.0000,wjczbx3,1969746902,,0,0,0,0,242,188,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/Boxicon,1,missing#53202,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,217,151,0.5354,0.4870,0.0379,0.0619,"159.8,164.1,162.5,237.6"
18,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/box,1,6,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,490.361,109.2,579.095,178.133,6300,6300,1.0000,wjczbx3,1969746902,,0,0,0,0,242,188,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/box,1,missing#53202,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,217,151,0.5354,0.4870,0.0379,0.0619,"159.8,164.1,162.5,237.6"
19,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/titan_boxicon,1,2,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,1001.028,112.533,1089.761,181.467,6230,6230,1.0000,wjczbx3,1969746902,,0,0,0,0,242,188,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/titan_boxicon,1,missing#53202,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,217,151,0.5354,0.4870,0.0379,0.0619,"159.8,164.1,162.5,237.6"
20,UI_GuildMain_NavigationPrototype/right/btn_6,1,5,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,499.667,415.667,571,475,4392,4392,1.0000,,0,,0,0,0,0,0,0,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,no_sprite,UI_GuildMain/right/btn_6,0,,,,,,no_sprite,,,,,,,,
