game_object_id,game_object_name,component_path_id,sprite_ref,sprite_name,status,is_button,is_scroll_or_viewport,color_a,width,height,area,risk
-546914828562249749,city_red_point,6178775194639844269,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
-5839660422289065225,guild_red_point,6250594422273302577,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
5410741362853330316,im_redpoint_funhandbook,8836296652695833186,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
-7619232957690321320,im_dot1,-2287799936201730305,0,,empty_sprite_ref,False,False,1.0,9.0,9.0,81.0,transparent_raycast_candidate
-7920317590879115453,Viewport,-7900627896441584743,-2320101112833093935,,empty_sprite_ref,False,False,1.0,0.0,0.0,0.0,transparent_raycast_candidate
6569245046781814939,UI_heroSpine,-5671083051537636857,0,,empty_sprite_ref,False,False,0.0,0.0,0.0,0.0,transparent_raycast_candidate
-8994618220874886279,Viewport,8401726091511060929,-2320101112833093935,,empty_sprite_ref,False,False,1.0,0.0,0.0,0.0,transparent_raycast_candidate
3932682649291599269,bannerBgBtn,4072098722474205079,0,,empty_sprite_ref,True,False,0.7843137383460999,2000.0,1200.0,2400000.0,ok
-1457103517121630268,UI_bg,6259596902678607660,9:4648636570285078741,noalphabg_BG_changjing_2,ready,True,False,0.0,1680.0,720.0,1209600.0,ok
7782975730861048677,im_act,5814558995353926681,67:7633225240165747067,activitybanner_5_long,ready,True,False,1.0,858.0,164.0,140712.0,ok
6517116752395716137,festival,821238039042960535,50:-988286642571662103,zhuye_xxbg1,ready,False,False,1.0,416.0,124.0,51584.0,ok
-4195932388162641461,festival,-1091336664416765208,50:-6439702806593626054,zhuye_xxbg2,ready,False,False,1.0,895.0,52.0,46540.0,ok
9175853281445361144,liaotian,-4000700466937308905,3:764692096595737640,chat_mainpage_frame,ready,False,True,1.0,342.0,135.0,46170.0,ok
-7563554791991204691,bg_bottom,-1821617041637524293,3:756411931416565193,zhuye_xxbg2,ready,False,False,1.0,870.0,52.0,45240.0,ok
-626135204296668423,chatBgImg,4739662475741982501,3:764692096595737640,chat_mainpage_frame,ready,False,False,1.0,380.6160888671875,112.83509826660156,42946.853789178655,ok
2420713352264289637,im_xuanzhong,9039624293140250589,1:-3341524470259435328,T_xuanzhongxiaoguo,ready,False,False,1.0,200.0,200.0,40000.0,ok
4233018114042763279,btn_taskNotice,6810002691182930124,0,,empty_sprite_ref,True,False,0.0,371.1604919433594,104.0,38600.691162109375,ok
-8941736887647107992,bg,-8423527114507180604,1:-6260708255479593176,renwutishidizi,ready,False,False,1.0,626.0,52.0,32552.0,ok
-8898990290885223385,btn_huodong3,-2434523498458532451,0,,empty_sprite_ref,True,False,0.0,232.0,104.0,24128.0,ok
3162074945722731914,btn_watch2,-4748447924338192505,36:-2316428109377570394,IC_watch,ready,True,False,1.0,149.0,157.0,23393.0,ok
487935544142905915,im_lover,-7226086934451941603,36:-6076515594254935550,100591,ready,False,False,1.0,150.0,150.0,22500.0,ok
7539544116257429673,im_lover,-6194134741734743233,1:-5862618822027723571,IC_chakan,ready,False,False,1.0,150.0,150.0,22500.0,ok
-2281118415906927024,btn_twitter,-2219860951623637247,3:-7706873069668347874,btn_tt,ready,True,False,1.0,150.0,150.0,22500.0,ok
668805896623954171,im_lover2,1004426526886521522,36:-6076515594254935550,100591,ready,False,False,1.0,150.0,150.0,22500.0,ok
-6650442623983403701,p_chat_private_head,7761132262403761647,1:-8484185493004443083,IC_touxiangzhezhao,ready,True,False,1.0,150.0,150.0,22500.0,ok
6683610392345918860,btn_qinmi2,-2566605262846638730,36:-1121192961255645693,T_daojudi,ready,True,False,1.0,158.0,142.0,22436.0,ok
2183609097357589804,btn_head,-7152778008308996810,0,,empty_sprite_ref,True,False,1.0,145.0,145.0,21025.0,ok
6092355302883134904,bg_guanzhi,-5921831384688586447,1:4706490186155028499,guanzhi_maozi1,ready,False,False,1.0,160.0,117.0,18720.0,ok
-3618791806314478432,bg_juese,3770989728908059935,1:6617065208850742552,Image_blank,ready,True,False,1.0,253.5,68.0,17238.0,ok
-1989194518598755751,wanfaBtn,-7870406640315514268,1:6617065208850742552,Image_blank,ready,True,False,1.0,130.0,130.0,16900.0,ok
-8883531350448583426,wanfaBtn,-5740242890252651072,1:6617065208850742552,Image_blank,ready,True,False,1.0,130.0,130.0,16900.0,ok
6069286315854834525,wanfaBtn,975500412906767799,1:6617065208850742552,Image_blank,ready,True,False,1.0,130.0,130.0,16900.0,ok
-589134538826087092,wanfaBtn,7677582287010058776,1:6617065208850742552,Image_blank,ready,True,False,1.0,130.0,130.0,16900.0,ok
-5337793335597221878,im_bg,-2689306520575408111,11:-3144903747913858528,zhuye_name,ready,False,False,1.0,411.0,39.0,16029.0,ok
-3186445798156127389,im_renwu,-1500663883483490197,3:-1041228431721065888,T_renwu2,ready,False,False,1.0,110.0,135.0,14850.0,ok
-7598825571058636272,faceGiftNode,-7685068270831037112,0,,empty_sprite_ref,True,False,0.0,147.0,96.0,14112.0,ok
-1375230232870813151,bg_unlock,4477896568970330159,1:-8626375744629671647,dl_jdt1_in,ready,False,False,0.7843137383460999,240.0,50.0,12000.0,ok
7146817651936697072,autoHelper_Root,5131659503597955159,62:-1965593669898030778,xzs_piaofutb,ready,True,False,0.0,100.0,100.0,10000.0,ok
-8311138471917487641,im_temporary_buff_bg,-7530439950976772023,3:4964805841541795809,bgyx_buffsmalldi_100000,ready,False,False,1.0,207.0,44.0,9108.0,ok
1118732288445422489,bg,2291723217715192329,3:-1725140174272729550,chat_mainpage_title5,ready,False,False,1.0,181.0,45.0,8145.0,ok
2886982629833949813,bg_ditu1,-7112829152303616825,34:-386543847492548881,UI_shilian_diban2,ready,False,False,1.0,210.5,37.0,7788.5,ok
-9062654595813077966,bg_ditu1,3414941272068384365,34:-386543847492548881,UI_shilian_diban2,ready,False,False,1.0,210.5,37.0,7788.5,ok
7022738334244158207,btn_act,-6996801323493213600,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
269919480588369530,btn_act,-5158382986790754280,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-7411390134429474157,btn_act,-4987850735973275055,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-6178576418460602108,btn_act,-3657816306047962784,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-8321253577145861072,btn_act,-1567028427549845184,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-8786651459083853759,btn_act,-788504171360921965,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
7632541445361125350,btn_act,-420766415918107132,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-2798617431254423713,btn_act,-399590028251822145,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-7571833000352612256,btn_act,659269113176872979,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-2553354194769653034,btn_act,797885220771815422,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-865576177899094444,btn_act,4018269082062109915,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-5047846913675438484,btn_act,7775194149923776698,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
4464877392471899717,btn_act,8213429611445200947,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-1793922948707889990,btn_act,8418663228443368155,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
-6888879692713675539,btn_act,9116119230218238743,38861690050489314,,empty_sprite_ref,True,False,0.0,80.0,80.0,6400.0,ok
8722396124062621871,btn_show_fanhui,-72535238327695952,8:-484562080628181104,BTN_fanhui,ready,True,False,1.0,92.0,54.0,4968.0,ok
-6812173747335075819,festival_1,4518084654518054123,50:-1027233427446999266,zhuye_xxbg2_a,ready,False,False,1.0,80.0,62.0,4960.0,ok
-3683968108930302861,im_city_qipaoup2,6468351382860998337,3:8230669418663780938,guanzhi_kensjz1,ready,False,False,1.0,112.0,41.0,4592.0,ok
-4455851631831179517,icon,-653754169402288694,3:8724844157043121254,icon_hjjiez,ready,False,False,1.0,62.0,68.0,4216.0,ok
-1391418151371263437,bg,-6062502802467956486,3:6773407288378370059,btn_zylingqu,ready,False,False,1.0,88.0,46.0,4048.0,ok
