font_key,bundle,font_path_id,glyph_index,width,height,bearing_x,bearing_y,advance,rect_x,rect_y,rect_width,rect_height,scale,atlas_index
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2654,43.359375,37.640625,-0.3125,30.796875,44.0,784,573,45,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2656,40.0,37.203125,-0.078125,30.796875,44.0,787,630,41,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2664,39.3125,37.640625,0.640625,30.796875,44.0,837,687,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2676,38.15625,37.078125,0.5625,30.796875,44.0,847,630,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2677,38.390625,37.203125,0.5625,30.796875,44.0,842,744,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2678,38.390625,37.109375,0.5625,30.796875,44.0,896,687,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2680,38.15625,37.203125,0.5625,30.796875,44.0,900,744,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2683,38.203125,37.640625,0.5625,30.796875,44.0,840,408,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2685,40.0,37.203125,-0.078125,30.796875,44.0,863,351,41,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2687,39.515625,37.203125,0.640625,30.796875,44.0,1269,519,41,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2701,38.8125,31.84375,2.59375,29.125,44.0,1212,292,40,33,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2733,38.8125,36.171875,2.59375,29.765625,44.0,782,977,40,37,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2735,38.8125,36.203125,2.59375,29.796875,44.0,839,917,40,37,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2742,38.8125,36.078125,2.59375,29.796875,44.0,841,973,40,37,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2764,38.8125,36.078125,2.59375,29.796875,44.0,898,917,40,37,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2765,39.484375,37.203125,-0.765625,30.796875,44.0,899,859,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2767,39.1875,37.203125,-0.234375,30.796875,44.0,904,801,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2772,38.953125,37.109375,-0.234375,30.796875,44.0,900,973,40,38,1.0,0
