target,hierarchy_path,game_object_local_id,image_component_local_id,active_in_hierarchy,sibling_index,anchor_min_x,anchor_min_y,anchor_max_x,anchor_max_y,pivot_x,pivot_y,anchored_pos_x,anchored_pos_y,size_delta_x,size_delta_y,local_scale_x,local_scale_y,local_scale_z,rect_width,rect_height,rect_area,sprite_null,sprite_name,sprite_local_id,sprite_reference_string,material_name,material_local_id,raycast_target,color,white_no_sprite,cause_class
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/bg_ditu,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#53222,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/img_award_cup,0,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#53254,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/img_award_cup2,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#53238,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/img_award_preheat,0,0,1,4,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#53256,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/bg_ditu,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#53242,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa9/img_award_cup,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#53250,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/im_renwu,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,-2,35,254,322,1,1,1,254,322,81788,1,,0,,Default UI Material,0,1,FFFFFFFF,1,null_sprite_no_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/im_renwu,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,-2,35,254,322,1,1,1,254,322,81788,1,,0,,Default UI Material,0,1,FFFFFFFF,1,null_sprite_no_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa5/im_renwu,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,-2,35,254,322,1,1,1,254,322,81788,1,,0,,Default UI Material,0,1,FFFFFFFF,1,null_sprite_no_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/im_renwu,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,-2,35,254,322,1,1,1,254,322,81788,1,,0,,Default UI Material,0,1,FFFFFFFF,1,null_sprite_no_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/im_renwu,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,-2,35,254,322,1,1,1,254,322,81788,1,,0,,Default UI Material,0,1,FFFFFFFF,1,null_sprite_no_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/node_gonggao/gongao_bg/gonggaoMask,0,0,1,2,0,0.5,1,0.5,0.5,0.5,77.5,0,-175,62.6,1,1,1,825,62.6,51645,1,,0,,Default UI Material,0,0,FFFFFFFF,1,null_sprite_no_serialized_reference
