evidence_kind,target,hierarchy_path,path_id,game_object_id,game_object_name,active_self,active_chain,component_path_id,sprite_name,sprite_status,color_a,asset_path,source_path,bundle,line,excerpt,reason
prefab_node,bg_gongneng,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054),-2565117311671495054,3943500846189760884,bg_gongneng,True,True,4399477399566410427,T_gongnengrukou,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface/fid3_-2576348191274856770_T_gongnengrukou.png,extracted/unity/bundles/b_3c369578efb6ef62/images/S/-2576348191274856770_T_gongnengrukou.png,download/artsources/uispriteres/uimaininterface.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,im_bg,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_13(-417605672092456394)/im_bg(-2522378186474400430),-2522378186474400430,-5948320139238452604,im_bg,True,True,8570475453966322528,mainpage_BTN_bg,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_-1182126779076344239_mainpage_BTN_bg.png,extracted/unity/bundles/b_e9b9d84959e15638/images/S/-1182126779076344239_mainpage_BTN_bg.png,download/artsources/uispriteres/uicommonother.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,bgBtn,UI_ImageSet(-6262488668089833764)/bgBtn(-2474024227687465692),-2474024227687465692,4483779034091160287,bgBtn,True,True,,,,,,,download/ui/uiprefabandres/maininterface.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,bg_ditu,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_bottom(-4278720413118513639)/jiarutishi2(-821442751079771230)/bg_ditu(-2384779417951658384),-2384779417951658384,1609840552613341024,bg_ditu,True,False,6562461695807748565,BG_qipao,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface/fid3_-3583236969578776251_BG_qipao.png,extracted/unity/bundles/b_3c369578efb6ef62/images/S/-3583236969578776251_BG_qipao.png,download/artsources/uispriteres/uimaininterface.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,im_bg,UI_MainInterface_old(2475216337245998118)/left(8354406432209300530)/bg_juese(-2194597288458085354)/im_bg(-2341286291524700684),-2341286291524700684,-2911752112333562426,im_bg,True,True,-3650331368365474946,BG_touxiangkuang,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface/fid3_4634103554720675837_BG_touxiangkuang.png,extracted/unity/bundles/b_3c369578efb6ef62/images/S/4634103554720675837_BG_touxiangkuang.png,download/artsources/uispriteres/uimaininterface.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,im_bg,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_2(3285201882750613537)/im_bg(-2314677556147319868),-2314677556147319868,-7717546259035243869,im_bg,True,True,2880548361948698796,mainpage_BTN_bg,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_-1182126779076344239_mainpage_BTN_bg.png,extracted/unity/bundles/b_e9b9d84959e15638/images/S/-1182126779076344239_mainpage_BTN_bg.png,download/artsources/uispriteres/uicommonother.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,im_bg,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_12(2652907961449290088)/im_bg(-2287866399930401419),-2287866399930401419,-6715395340654300458,im_bg,True,True,-2176500405352760164,mainpage_BTN_bg,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_-1182126779076344239_mainpage_BTN_bg.png,extracted/unity/bundles/b_e9b9d84959e15638/images/S/-1182126779076344239_mainpage_BTN_bg.png,download/artsources/uispriteres/uicommonother.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,bg_juese,UI_MainInterface_old(2475216337245998118)/left(8354406432209300530)/bg_juese(-2194597288458085354),-2194597288458085354,2266644314326181443,bg_juese,True,True,3241525467340338802,guanzhi_maozi4,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_-8620833274010506644_guanzhi_maozi4.png,extracted/unity/bundles/b_e9b9d84959e15638/images/S/-8620833274010506644_guanzhi_maozi4.png,download/artsources/uispriteres/uicommonother.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,bg_kaiguan,UI_GeneralSettings(4044201570421834451)/pop_Content(6829782875098776486)/p_wanfa(4522654051267591035)/Scroll View(3619342019340406236)/Viewport(3507754679692268098)/Content(-2652013264264088857)/set1(-2149548448323085347)/bg_kaiguan(-2141024915064566162),-2141024915064566162,2708406794962849889,bg_kaiguan,True,False,5446162855469180606,BG_kaiguan,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uibutton/fid8_430237908708297658_BG_kaiguan.png,extracted/unity/bundles/b_db2d3e832d286f31/images/S/430237908708297658_BG_kaiguan.png,download/artsources/uispriteres/uibutton.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,spine_root,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_4(4702396179718381985)/spine_root(-2121607196021778708),-2121607196021778708,-5377746711221339851,spine_root,True,True,,,,,,,download/ui/uiprefabandres/maininterface.assetbundle,,,prefab hierarchy/image state relevant to current black capture
