blocker_id,path_hint,source_kind,source,bundle,script_name,match_count,runtime_near_count,confidence,unresolved_reason,matched_terms,preview
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-4837665355094276425_GuildMgr_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,GuildMgr,5,0,medium,keyword match only,box,"L210:UIUtil.ShowMessageBox({ | L229:buttons=MessageBoxButtons.OKCancel, | L457:buttons=MessageBoxButtons.OKCancel, | L462:UIUtil.ShowMessageBox(e) | L515:function e:ReqGuildGiftBox()"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\6579110954570338396_GuildTrialsMgr_security_xor_raw.lua,download/xlualogic/modules/guildtrials.assetbundle,GuildTrialsMgr,55,0,medium,keyword match only,box,L11:e.EMapBoxTabType={ | L37:self.mapBoxes={}; | L38:self.mapBoxeMaps={} | L39:self.mapBoxeRedMaps={} | L121:function e:reqGuildTrialsMapBox() | L122:return NetManager.Send(ProtoId.PRT_GUILD_TRIAL_MAP_BOX_REQ) | L124:function e:syncGuildTrialsMapBoxData(t) | L125:if t.mapBoxes~=nil then
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-5831311429067198371_UI_GameGuildBoxInfoView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GameGuildBoxInfoView,10,0,medium,keyword match only,box,"L33:GameTools.CloseUIForm(UIFormId.UI_GameGuildBoxInfoView) | L38:EventSystem.AddListener(CommonEventId.OnEventGameGuildBoxShow,OnEventGameGuildBoxShow) | L44:OnEventGameGuildBoxShow(e) | L48:EventSystem.RemoveListener(CommonEventId.OnEventGameGuildBoxShow,OnEventGameGuildBoxShow) | L64:GameTools.CloseUIForm(UIFormId.UI_GameGuildBoxInfoView) | L66:function OnEventGameGuildBoxShow(e) | L69:GameTools.CloseUIForm(UIFormId.UI_GameGuildBoxInfoView) | L182:if n==false and e~=UIFormId.UI_GameGuildBoxInfoView then"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-5008914833845666756_UI_GuildMemberView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildMemberView,6,0,medium,keyword match only,box,"L13:UIUtil.ShowMessageBox({ | L17:buttons=MessageBoxButtons.OK, | L25:UIUtil.ShowMessageBox({ | L34:buttons=MessageBoxButtons.OKCancel, | L44:UIUtil.ShowMessageBox({ | L49:buttons=MessageBoxButtons.OKCancel,"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\7394964758178317413_UI_GuildTerritory_TeamBattle_security_xor_raw.lua,download/xlualogic/modules/guildterritory.assetbundle,UI_GuildTerritory_TeamBattle,2,0,medium,keyword match only,box,"L144:buttons=MessageBoxButtons.OKCancel, | L150:UIUtil.ShowMessageBox(e)"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-3547626406239500829_UI_GuildTrials_Main_View_security_xor_raw.lua,download/xlualogic/modules/guildtrials.assetbundle,UI_GuildTrials_Main_View,9,0,medium,keyword match only,box,"L30:shilianBoxBtn.onClick:AddListener(function() | L31:local e=e:reqGuildTrialsMapBox() | L34:GameEntry.UI:OpenUIForm(UIFormId.UI_GuildTrials_DrillBox_View,{}) | L143:LuaUtils.SetChildActive(shilianBoxBtn.transform,""red"",false) | L144:if RedPointMgr:checkServerRedPoint(PROTO_ENUM.ENUM_REDPOINT_ID.GUILD_TRIAL_BOX)then | L145:LuaUtils.SetChildActive(shilianBoxBtn.transform,""red"",true) | L172:UIUtil.CheckCloseUIForm(UIFormId.UI_GuildTrials_DrillBox_View) | L435:buttons=MessageBoxButtons.OK,"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-1922553641236455454_UI_GuildTrials_MonsDesc_View_security_xor_raw.lua,download/xlualogic/modules/guildtrials.assetbundle,UI_GuildTrials_MonsDesc_View,2,0,medium,keyword match only,box,"L346:buttons=MessageBoxButtons.OKCancel, | L356:UIUtil.ShowMessageBox(e)"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-5038574723730485097_UI_GuildWarBattleGround_security_xor_raw.lua,download/xlualogic/modules/csguildwar.assetbundle,UI_GuildWarBattleGround,1,0,medium,keyword match only,box,"L77:EventSystem.SendEvent(CommonEventId.ShowItemDelayTip,{overTime=TimeUtil.GetServerTimeStamp()+10,sourceType=PROTO_ENUM.ENUM_AWARD_SOURCE_TYPE.AST_BOX_WEEK_BOX})"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-3387105332748696774_UI_GuildWarBoxRewardGet_security_xor_raw.lua,download/xlualogic/modules/csguildwar.assetbundle,UI_GuildWarBoxRewardGet,4,0,medium,keyword match only,box,L5:GameTools.CloseUIForm(UIFormId.UI_GuildWarBoxRewardGet) | L10:ModulesInit.CSGuildWarManager:SendGuildWarGetNoFitstBoxRequest() | L11:GameTools.CloseUIForm(UIFormId.UI_GuildWarBoxRewardGet) | L17:local t=ModulesInit.CSGuildWarManager.GuildWarStatusInfo.myBoxes
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\3969173748548123151_UI_GuildWarEmbattle_security_xor_raw.lua,download/xlualogic/modules/csguildwar.assetbundle,UI_GuildWarEmbattle,2,0,medium,keyword match only,box,"L124:buttons=MessageBoxButtons.OKCancel, | L130:UIUtil.ShowMessageBox(e)"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-9136809040951575545_UI_GuildWarNoOpenForFirst_security_xor_raw.lua,download/xlualogic/modules/csguildwar.assetbundle,UI_GuildWarNoOpenForFirst,4,0,medium,keyword match only,box,L26:local e=t:SendGuildWarGetBoxRequest() | L28:UpdateFirstJoinBoxStatu() | L75:UpdateFirstJoinBoxStatu() | L95:function UpdateFirstJoinBoxStatu()
wanfa_button_backgrounds,btn_wanfa*/bg_ditu,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-5831311429067198371_UI_GameGuildBoxInfoView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GameGuildBoxInfoView,2,0,medium,keyword match only,bg_ditu,"L141:uiRect=bg_ditu.transform.rect, | L174:bg_ditu.transform:SetSizeWithCurrentAnchors(CS.UnityEngine.RectTransform.Axis.Horizontal,e)"
wanfa_viewport_mask,middle/root_wanfa/Viewport/UIMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-5071768381013241184_UI_GuildApplyManageView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildApplyManageView,1,0,medium,keyword match only,Mask,"L53:UIUtil.SetMarqueeWithOption(t[""mask_marquee""].transform,t[""text_desc""],PlayerMgr:getPlayerSign(o.sign))"
wanfa_viewport_mask,middle/root_wanfa/Viewport/UIMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\4758199554370105319_UI_GuildGiftView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildGiftView,1,0,medium,keyword match only,Mask,"L398:UIUtil.SetMarqueeWithDesc(e[""mask_marquee""].transform,e[""text_tiaojian2""],100,n,false,false,true)"
wanfa_viewport_mask,middle/root_wanfa/Viewport/UIMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-4263789113467508367_UI_GuildJoinListNewView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildJoinListNewView,3,0,medium,keyword match only,Mask;Viewport,"L237:UIUtil.SetMarqueeWithOption(t[""mask_marquee""].transform,t[""text_desc""],e) | L400:local t=ScrollViewRank:GetItemCornerPosInViewPort(t,CS.SuperScrollView.ItemCornerEnum.LeftBottom).y; | L401:if(t+ScrollViewRank.ViewPortSize>=40)then"
wanfa_viewport_mask,middle/root_wanfa/Viewport/UIMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-9152277616978666343_UI_GuildJoinListView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildJoinListView,1,0,medium,keyword match only,Mask,"L212:UIUtil.SetMarqueeWithOption(t[""mask_marquee""].transform,t[""text_desc""],e)"
wanfa_viewport_mask,middle/root_wanfa/Viewport/UIMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\3850179914080718837_UI_GuildManageView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildManageView,2,0,medium,keyword match only,Mask,"L128:UIUtil.SetMarqueeWithDesc(mask_notice,text_notice_desc,100,e,false,true) | L131:UIUtil.SetMarqueeWithDesc(mask_recruit_notice,text_recruit_notice_desc,100,e,false,true)"
wanfa_viewport_mask,middle/root_wanfa/Viewport/UIMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\1563110776378753012_UI_GuildTerritory_Main_security_xor_raw.lua,download/xlualogic/modules/guildterritory.assetbundle,UI_GuildTerritory_Main,1,0,medium,keyword match only,Mask,L70:btn_transfer_mask.onClick:AddListener(function()
wanfa_viewport_mask,middle/root_wanfa/Viewport/UIMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\8908680959850251194_UI_GuildTerritory_MyInfo_security_xor_raw.lua,download/xlualogic/modules/guildterritory.assetbundle,UI_GuildTerritory_MyInfo,1,0,medium,keyword match only,Mask,"L33:UIUtil.SetMarqueeWithDesc(mask_marquee,text_desc,100,PlayerMgr:getPlayerSign(e.sign))"
wanfa_viewport_mask,middle/root_wanfa/Viewport/UIMask,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\474706197804274528_map_task_info_tips_security_xor_raw.lua,download/xlualogic/modules/guildterritory.assetbundle,map_task_info_tips,1,0,medium,keyword match only,Mask,L29:btn_click_mask.onClick:AddListener(function()
bg_beijingtu,bg_beijingtu/noalphabg_BG_Guid,no_direct_lua_hit,,,,0,0,unresolved,no decoded Lua line directly referenced this blocker term,,
