name,path_id,output,size,prefix4,prefix16_hex,ascii_ratio_first512,encrypted_or_packed_like
UI_Adventure_Item_New,-256044868408587883,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/-256044868408587883_UI_Adventure_Item_New.txt,5789,A-EV,41 2d 45 56 7b 3f 6c 3f 21 19 54 27 3f 4f 59 46,0.904,true
UI_SystemSet,412370137018619402,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/412370137018619402_UI_SystemSet.txt,12231,A-EV,41 2d 45 56 7b 3f 66 3f 28 76 58 58 3f 48 52 0d,0.926,true
Bubbles,1858797692842959531,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/1858797692842959531_Bubbles.txt,1744,A-EV,41 2d 45 56 7b 3f 6c 3f 19 7f 48 5e 3f 12 15 67,0.902,true
UI_CDKExchange,1971560719683477620,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/1971560719683477620_UI_CDKExchange.txt,1038,K7HT,4b 37 48 54 63 3f 66 3f 7a 5c 47 64 3f 53 43 0d,0.916,true
UI_JingjiFrame_View,2102292922432672894,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/2102292922432672894_UI_JingjiFrame_View.txt,16508,A-EV,41 2d 45 56 7b 3f 6c 3f 28 76 58 58 3f 48 52 0d,0.895,true
UI_NormalSet,2140832171205353675,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/2140832171205353675_UI_NormalSet.txt,4459,A-EV,41 2d 45 56 7b 3f 65 3f 28 76 58 58 3f 48 52 0d,0.891,true
UI_CostSecondSureView,2169164039336879383,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/2169164039336879383_UI_CostSecondSureView.txt,1082,A-EV,41 2d 45 56 7b 3f 68 3f 36 7c 4a 4c 3f 1a 58 2f,0.914,true
UI_HeadSet,2308907811627836930,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/2308907811627836930_UI_HeadSet.txt,16913,A-EV,41 2d 45 56 7b 3f 63 3f 28 76 58 58 3f 48 52 0d,0.916,true
UI_HeroSmallTheater,3172197260861878181,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/3172197260861878181_UI_HeroSmallTheater.txt,3757,A-EV,41 2d 45 56 7b 3f 61 3f 28 76 58 58 3f 48 52 0d,0.930,true
UI_GameFuncTipView,3368239574724641433,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/3368239574724641433_UI_GameFuncTipView.txt,4483,A-EV,41 2d 45 56 7b 3f 6c 3f 28 76 58 58 3f 48 52 0d,0.863,true
UI_ChapterCityShow,3870553443684809765,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/3870553443684809765_UI_ChapterCityShow.txt,1412,A-EV,41 2d 45 56 7b 3f 68 3f 28 76 58 58 3f 48 52 0d,0.916,true
UI_GameExplain,4111656470328788358,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/4111656470328788358_UI_GameExplain.txt,311,K7HT,4b 37 48 54 63 3f 66 3f 7a 5c 47 64 3f 53 43 0d,0.952,true
UI_VoiceSet,4380632613086954470,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/4380632613086954470_UI_VoiceSet.txt,4973,A-EV,41 2d 45 56 7b 3f 6c 3f 2e 61 5c 48 3f 56 58 46,0.918,true
UI_RoleLordShow,4894329040263920622,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/4894329040263920622_UI_RoleLordShow.txt,1384,A-EV,41 2d 45 56 7b 3f 6c 3f 28 76 58 58 3f 48 52 0d,0.910,true
UI_GameSettings,5037265183565591348,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/5037265183565591348_UI_GameSettings.txt,2424,A-EV,41 2d 45 56 7b 3f 6c 3f 36 7c 4a 4c 3f 1a 43 2f,0.906,true
UI_ChangeAccSetSelect,6111914470868363254,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/6111914470868363254_UI_ChangeAccSetSelect.txt,4407,A-EV,41 2d 45 56 7b 3f 6c 3f 3c 66 47 4e 3f 53 58 4b,0.930,true
UI_CostHCConfirm,7644308756181547518,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/7644308756181547518_UI_CostHCConfirm.txt,1047,A-EV,41 2d 45 56 7b 3f 7d 3f 36 7c 4a 4c 3f 1a 58 2f,0.916,true
UI_DeleteHint,8567412482073730079,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/8567412482073730079_UI_DeleteHint.txt,1337,A-EV,41 2d 45 56 7b 3f 6c 3f 6b 19 45 42 3f 5b 5b 05,0.908,true
UI_ChangeAccSet,8904829059943066562,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/8904829059943066562_UI_ChangeAccSet.txt,1753,K7HT,4b 37 48 54 63 3f 66 3f 7a 5c 47 64 3f 53 43 0d,0.930,true
UI_CostHCConfirm2,9193796673221081139,extracted/unity/bundles/b_d42e8b7494fbffa1/textassets/9193796673221081139_UI_CostHCConfirm2.txt,1049,A-EV,41 2d 45 56 7b 3f 68 3f 36 7c 4a 4c 3f 1a 58 2f,0.908,true
