category,bundle,path_id,name,size,looks_text,output
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-7136172965661560559,Skill31120201,974,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-7136172965661560559_Skill31120201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,2858003259750272463,Skill31120202,974,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/2858003259750272463_Skill31120202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-3741594917935263767,Skill1014303,967,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-3741594917935263767_Skill1014303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-919882153203248332,Skill1029303,966,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-919882153203248332_Skill1029303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,5760725687171142229,Skill31110201,966,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/5760725687171142229_Skill31110201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-603457100824908383,Skill31110202,966,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-603457100824908383_Skill31110202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-1505321240496306062,Skill1912202,962,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-1505321240496306062_Skill1912202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,7406842662324808257,Skill1015303,961,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/7406842662324808257_Skill1015303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,3857611088330592609,Skill1012303,960,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/3857611088330592609_Skill1012303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-8484936273562433188,Skill82005310,960,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-8484936273562433188_Skill82005310.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,2066765323438629283,Skill1032302,958,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/2066765323438629283_Skill1032302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,1394007798311778704,Skill1032303,958,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/1394007798311778704_Skill1032303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,1255712314013061002,Skill21082201,957,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/1255712314013061002_Skill21082201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,6242840118207000500,Skill1061201,954,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/6242840118207000500_Skill1061201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,5353791836142062291,Skill21041303,954,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/5353791836142062291_Skill21041303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,2285851127845065166,Skill1026303,950,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/2285851127845065166_Skill1026303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,1325827572094510714,Skill21015301,950,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/1325827572094510714_Skill21015301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,8177432702002261868,Skill31117402,950,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/8177432702002261868_Skill31117402.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-3872107045147522453,Skill31117404,950,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-3872107045147522453_Skill31117404.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-3713635721006968758,Skill31111102,949,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-3713635721006968758_Skill31111102.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,3143940525751672753,Skill31111402,948,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/3143940525751672753_Skill31111402.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-4843221985119471593,Skill1053402,946,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-4843221985119471593_Skill1053402.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,1612682073955722439,Skill1053404,946,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/1612682073955722439_Skill1053404.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-3484998993399908360,Skill82004310,945,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-3484998993399908360_Skill82004310.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-8637541324632910068,Skill31116301,944,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-8637541324632910068_Skill31116301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,6676829265008111178,Skill31116302,944,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/6676829265008111178_Skill31116302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,1287205796285110700,Skill31116303,944,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/1287205796285110700_Skill31116303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,5195438128784751544,Skill1033302,943,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/5195438128784751544_Skill1033302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-8552772855820037193,Skill82007407,942,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-8552772855820037193_Skill82007407.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-4626451002058991620,Skill1062402,941,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-4626451002058991620_Skill1062402.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-7528610183963554136,Skill1062404,941,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-7528610183963554136_Skill1062404.txt
