category,bundle,path_id,type,name,width,height,output,error
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,-3709247087990226909,Texture2D,gfx_ring_0049,256,256,extracted/unity/bundles/b_13f8d8305599d199/images/T/-3709247087990226909_gfx_ring_0049.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,1614278081565206071,Sprite,ljzm_dabj,1680,720,extracted/unity/bundles/b_13f8d8305599d199/images/S/1614278081565206071_ljzm_dabj.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,3648182101652878068,Texture2D,ljzm_dabj,1680,720,extracted/unity/bundles/b_13f8d8305599d199/images/T/3648182101652878068_ljzm_dabj.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,-1675378391336701993,Texture2D,newworld2_baoxiang,2048,256,extracted/unity/bundles/b_13f8d8305599d199/images/T/-1675378391336701993_newworld2_baoxiang.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,-7617548729159166216,Texture2D,spine_paopao,64,64,extracted/unity/bundles/b_13f8d8305599d199/images/T/-7617548729159166216_spine_paopao.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,-6278312026017623158,Texture2D,xzs_di01,1538,120,extracted/unity/bundles/b_13f8d8305599d199/images/T/-6278312026017623158_xzs_di01.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,-5695501700016490936,Texture2D,xzs_tiao01,1538,2,extracted/unity/bundles/b_13f8d8305599d199/images/T/-5695501700016490936_xzs_tiao01.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,3703778601625635703,Sprite,xzs_tiao01,1538,2,extracted/unity/bundles/b_13f8d8305599d199/images/S/3703778601625635703_xzs_tiao01.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,8501139332677272989,Texture2D,Default-Particle,64,64,extracted/unity/bundles/b_867e6a124a930e9f/images/T/8501139332677272989_Default-Particle.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-2136431242277888755,Texture2D,spine_fly_qipao,128,128,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-2136431242277888755_spine_fly_qipao.png,
