page,detailId,title,characterNameFromTitle,heroDid,localName,matchType,ambiguousCandidates,prefabId,heroDataExists,battleActorBundleExists,roleBigSetPaintingExists,skillBundleExists,battleheadExists,battleheadPath,detailUrl
4,2274409,소녀전쟁 | 다치바나 긴치요 원화,다치바나 긴치요,1026,다치바나 긴치요,exact_name,,1026,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-7250122615614223548_battlehead1026.png,https://game.naver.com/lounge/girlwars/board/detail/2274409
4,2274403,소녀전쟁 | 다치바나 도세츠 원화,다치바나 도세츠,1027,다치바나 도세츠,exact_name,,1027,True,False,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-8285944887169215787_battlehead1027.png,https://game.naver.com/lounge/girlwars/board/detail/2274403
4,2274393,소녀전쟁 | 사이토 기쵸 원화,사이토 기쵸,1029,사이토 기쵸,exact_name,21029:사이토 기쵸:exact_name,1029,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-4434463221669571637_battlehead1029.png,https://game.naver.com/lounge/girlwars/board/detail/2274393
4,2274375,소녀전쟁 | 레오니다스 원화,레오니다스,1046,레오니다스,exact_name,,1046,True,False,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-4907189379090215207_battlehead1046.png,https://game.naver.com/lounge/girlwars/board/detail/2274375
4,2274359,소녀전쟁 | 다테 마사무네 원화,다테 마사무네,1025,다테 마사무네,exact_name,21025:다테 마사무네:exact_name|31025:다테 마사무네:exact_name,1025,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-2554561078895938466_battlehead31025.png,https://game.naver.com/lounge/girlwars/board/detail/2274359
4,2274352,소녀전쟁 | 모드레드 원화,모드레드,1038,모드레드,exact_name,,1038,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\2694424197690723412_battlehead1038.png,https://game.naver.com/lounge/girlwars/board/detail/2274352
4,2038484,소녀전쟁 | 카이사르 원화,카이사르,1044,카이사르,exact_name,21044:카이사르:exact_name|22044:카이사르:exact_name|31044:카이사르:exact_name,1044,True,False,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-2924169203081850908_battlehead31044.png,https://game.naver.com/lounge/girlwars/board/detail/2038484
4,2038479,소녀전쟁 | 타이라노 키요모리 원화,타이라노 키요모리,1030,타이라노 키요모리,exact_name,,1030,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-9091976571449636600_battlehead1030.png,https://game.naver.com/lounge/girlwars/board/detail/2038479
4,2038476,소녀전쟁 | 제갈공명 원화,제갈공명,1037,제갈공명,exact_name,,1037,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-1969005038955625410_battlehead_Q_1037.png,https://game.naver.com/lounge/girlwars/board/detail/2038476
4,2038470,소녀전쟁 | 혼다 타다카츠 원화,혼다 타다카츠,1020,혼다 타다카츠,exact_name,,1020,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-2152070598749011921_battlehead1020.png,https://game.naver.com/lounge/girlwars/board/detail/2038470
