rootName,rootRectPathId,componentPathId,componentType,scriptKind,gameObjectId,gameObjectName,hierarchyPath,mEnabled,mRenderMode,mOverrideSorting,mSortingOrder,mDepth,mAlpha,mBlocksRaycasts,mInteractable,mRaycastTarget,mMaskable,componentRole,reconstructionStatus,source
UI_Dock,7409970622389811116,7200692472588601574,MonoBehaviour,UnityEngine.UI.Image,2932995640243669782,im_tanhao,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_tanhao(-2768118973865008689),1,,,,,,,,0,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-6881607835692442624,CanvasRenderer,CanvasRenderer,8978873834852375592,im_zhuangshi,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_zhuangshi(5381602040586132185),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-557720781255549197,MonoBehaviour,UnityEngine.UI.Image,8978873834852375592,im_zhuangshi,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_zhuangshi(5381602040586132185),1,,,,,,,,1,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,3028545247747756917,CanvasRenderer,CanvasRenderer,136003650410995197,text_message,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/text_message(-2856066976137449644),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-8228587134994804809,CanvasRenderer,CanvasRenderer,8954434186850425045,text_tmp_message,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/text_tmp_message(7964745134258700940),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-5695036034457746142,CanvasRenderer,CanvasRenderer,-3091660177777203937,bg_ditu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/teaming(-6967838406495907012)/bg_ditu(-5601277332580164703),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,1716755602553917513,MonoBehaviour,UnityEngine.UI.Image,-3091660177777203937,bg_ditu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/teaming(-6967838406495907012)/bg_ditu(-5601277332580164703),1,,,,,,,,0,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-1954202878872676014,CanvasRenderer,CanvasRenderer,984179714418110986,im_tanhao,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/teaming(-6967838406495907012)/bg_ditu(-5601277332580164703)/im_tanhao(6425223398315563413),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-6075396776471744483,MonoBehaviour,UnityEngine.UI.Image,984179714418110986,im_tanhao,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/teaming(-6967838406495907012)/bg_ditu(-5601277332580164703)/im_tanhao(6425223398315563413),1,,,,,,,,0,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-4910487191298491500,CanvasRenderer,CanvasRenderer,-1112031935058178255,text_tmp_chengyuan,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/teaming(-6967838406495907012)/text_tmp_chengyuan(1291580857650774232),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,980027665437065958,CanvasRenderer,CanvasRenderer,6145396869797241131,text_tmp_chengyuan_num,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/teaming(-6967838406495907012)/text_tmp_chengyuan_num(-4270645848140200385),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-427089956080963247,CanvasRenderer,CanvasRenderer,-953506933814388801,text_tmp_nandu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/teaming(-6967838406495907012)/text_tmp_nandu(8596813886328622871),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,3661651273183076220,CanvasRenderer,CanvasRenderer,-4284752466418043719,text_tmp_nandu_num,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/teaming(-6967838406495907012)/text_tmp_nandu_num(-7788508557724702419),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,4875998240771346121,CanvasRenderer,CanvasRenderer,-5404332535075547773,text_tmp_zudui,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/teaming(-6967838406495907012)/text_tmp_zudui(-3897382138475438474),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-4326775876944765795,CanvasRenderer,CanvasRenderer,5230512331210164197,text_tmp_message,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/text_tmp_message(7822949431905523998),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-6306058100833864992,CanvasRenderer,CanvasRenderer,-5897180191770163959,bg_ditu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/text_tmp_message(7822949431905523998)/bg_ditu(-6153963696786481669),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-9192694981992067958,MonoBehaviour,UnityEngine.UI.Image,-5897180191770163959,bg_ditu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/text_tmp_message(7822949431905523998)/bg_ditu(-6153963696786481669),1,,,,,,,,0,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-4354006887316138963,CanvasRenderer,CanvasRenderer,-313242783495373344,im_tanhao,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi3(5860586322973793842)/text_tmp_message(7822949431905523998)/bg_ditu(-6153963696786481669)/im_tanhao(6836624438484334026),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
