moduleFile,line,keywordHits,snippet,openStackInterpretation
-9035189407698220568_MainPageLimitMgr_security_xor_raw.lua,696,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_SkyCityNoOpenQualify),button_or_runtime_opens_additional_ui_form_candidate
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,7,UI_Adventure,local u=require('Modules/MainInterface/UI_Adventure_Item_New'),adventure_overlay_candidate_not_reference_home_default
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,26,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_MainPage),button_or_runtime_opens_additional_ui_form_candidate
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,28,UI_Adventure,GameTools.CloseUIForm(UIFormId.UI_Adventure_RootView),adventure_overlay_candidate_not_reference_home_default
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,80,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GoldChange),button_or_runtime_opens_additional_ui_form_candidate
-5664616251800369604_UI_Adventure_RootView_security_xor_raw.lua,106,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_CommonLoading,{style=LoadingStyle.Cloud,loadResFinish=function()",button_or_runtime_opens_additional_ui_form_candidate
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,7,UI_Adventure,local o=require('Modules/MainInterface/UI_Adventure_Item'),adventure_overlay_candidate_not_reference_home_default
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,52,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_MBShop),button_or_runtime_opens_additional_ui_form_candidate
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,63,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_MBRankAward),button_or_runtime_opens_additional_ui_form_candidate
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,82,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_Arena),button_or_runtime_opens_additional_ui_form_candidate
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,87,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_ArenaRoot),button_or_runtime_opens_additional_ui_form_candidate
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,94,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_CommonLoading,{style=LoadingStyle.Cloud,loadResFinish=function()",button_or_runtime_opens_additional_ui_form_candidate
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,683,UI_Adventure,"e[1]:SetText(GameTools.GetLocalize(""UI_AdventureTrialDesc"",LanguageCategory.LangCommon))",adventure_overlay_candidate_not_reference_home_default
-7116734803677859758_UI_AdventureInterface_security_xor_raw.lua,695,UI_Adventure,"e[2]:SetText(GameTools.GetLocalize(""UI_AdventureArenaDesc"",LanguageCategory.LangCommon))",adventure_overlay_candidate_not_reference_home_default
-4615102950863731052_UI_Dock_security_xor_raw.lua,202,UI_Dock,if GameEntry.UI:IsExists(UIFormId.UI_Dock)then,dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,219,UI_Dock,if GameEntry.UI:IsExists(UIFormId.UI_Dock)then,dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,236,OpenUIForm,GameEntry.UI:OpenUIForm(UIFormId.UI_GuildJoinListNewView),button_or_runtime_opens_additional_ui_form_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,263,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_MainPage,t)",button_or_runtime_opens_additional_ui_form_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,267,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_Camp,t)",button_or_runtime_opens_additional_ui_form_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,270,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_Bag,t)",button_or_runtime_opens_additional_ui_form_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,274,UI_Adventure,a=UIFormId.UI_AdventureInterface,dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,275,OpenUIForm;UI_Adventure,"GameEntry.UI:OpenUIForm(UIFormId.UI_AdventureInterface,t)",button_or_runtime_opens_additional_ui_form_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,278,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_GuildMainView,t)",button_or_runtime_opens_additional_ui_form_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,284,OpenUIForm,"GameEntry.UI:OpenUIForm(UIFormId.UI_City,t)",button_or_runtime_opens_additional_ui_form_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,323,UI_Dock,if a(UIFormId.UI_Dock)==false then,dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,324,UI_Dock,GameTools.CloseUIForm(UIFormId.UI_Dock),dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,338,UI_Dock,GameEntry.UI:HideUIForm(UIFormId.UI_Dock),dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,340,UI_Dock,GameEntry.UI:ShowUIForm(UIFormId.UI_Dock),dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,486,UI_Adventure,if not GameEntry.UI:IsExists(UIFormId.UI_AdventureInterface)then,dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,547,UI_Adventure,if not GameEntry.UI:IsExists(UIFormId.UI_AdventureInterface)then,dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,577,UI_Dock,"LuaUtils.AnimtorPlay(UI_Dock,""UI_Dock_out"",0,0)",dock_overlay_or_bottom_flow_candidate
-4615102950863731052_UI_Dock_security_xor_raw.lua,579,UI_Dock,"LuaUtils.AnimtorPlay(UI_Dock,""UI_Dock_in"",0,0)",dock_overlay_or_bottom_flow_candidate
