ownerComName,refRole,fileId,pathId,resolvedBundle,resolvedBundlePath,resolvedBundleExists,resolvedObjectType,resolvedObjectName,resolutionStatus,skeletonScale,skeletonJSONRef,atlasAssetsRefs,atlasFileRef,atlasMaterialRefs,materialShaderRef,materialShaderKeywords,materialMainTextureRef,materialStencilRef,materialStencilComp,materialStencil,materialColorMask,textureWidth,textureHeight,textureFormat,dependencyStatus
sp_bag,skeletonDataAsset,27,4383664063026030399,download/ui/uiprefabandres/maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,True,MonoBehaviour,SP_Dock_3_SkeletonData,resolved_object,0.009999999776482582,fileID=0;pathID=-9015391737978558464,fileID=0;pathID=5972563461574298195,fileID=;pathID=,,,,,,,,,,,,resolved
sp_bag,m_Material,6,4191673546758847426,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicDefault,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-8637354332327150364,_STRAIGHT_ALPHA_INPUT _USE8NEIGHBOURHOOD_ON,fileID=0;pathID=0,1.0,8.0,0.0,15.0,,,,resolved
sp_bag,additiveMaterial,6,-7852358095173771177,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicAdditive,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-2658896852931859588,,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_bag,multiplyMaterial,6,-13276894215973044,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicMultiply,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-9061908430178429775,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_bag,screenMaterial,6,-5524858707655825726,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicScreen,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=7519826479649483999,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_expedition,skeletonDataAsset,27,990493154963787777,download/ui/uiprefabandres/maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,True,MonoBehaviour,SP_Dock_4_SkeletonData,resolved_object,0.009999999776482582,fileID=0;pathID=8879130499741459148,fileID=0;pathID=-3329014225688361458,fileID=;pathID=,,,,,,,,,,,,resolved
sp_expedition,m_Material,6,4191673546758847426,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicDefault,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-8637354332327150364,_STRAIGHT_ALPHA_INPUT _USE8NEIGHBOURHOOD_ON,fileID=0;pathID=0,1.0,8.0,0.0,15.0,,,,resolved
sp_expedition,additiveMaterial,6,-7852358095173771177,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicAdditive,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-2658896852931859588,,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_expedition,multiplyMaterial,6,-13276894215973044,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicMultiply,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-9061908430178429775,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_expedition,screenMaterial,6,-5524858707655825726,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicScreen,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=7519826479649483999,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_adventureInterface,skeletonDataAsset,27,6442536793674886619,download/ui/uiprefabandres/maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,True,MonoBehaviour,SP_Dock_5_SkeletonData,resolved_object,0.009999999776482582,fileID=0;pathID=-1063526957802718890,fileID=0;pathID=8303853714338035501,fileID=;pathID=,,,,,,,,,,,,resolved
sp_adventureInterface,m_Material,6,4191673546758847426,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicDefault,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-8637354332327150364,_STRAIGHT_ALPHA_INPUT _USE8NEIGHBOURHOOD_ON,fileID=0;pathID=0,1.0,8.0,0.0,15.0,,,,resolved
sp_adventureInterface,additiveMaterial,6,-7852358095173771177,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicAdditive,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-2658896852931859588,,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_adventureInterface,multiplyMaterial,6,-13276894215973044,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicMultiply,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-9061908430178429775,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_adventureInterface,screenMaterial,6,-5524858707655825726,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicScreen,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=7519826479649483999,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
