"category","source_backed_decision","name","path","active_self","active_in_hierarchy","sibling_index","child_count","component_types","has_button","button_interactable","has_graphic","graphic_enabled","graphic_raycast_target","graphic_maskable","graphic_material","graphic_color","image_sprite","image_type","image_preserve_aspect","text_sample","text_font","text_material","anchor_min","anchor_max","pivot","anchored_position","size_delta","rect_size","local_scale","local_position","local_rotation","screen_rect_valid","screen_rect","screen_min_x","screen_min_y","screen_max_x","screen_max_y","canvas_override_sorting","canvas_sorting_order","canvas_render_mode","nearest_canvas_path","nearest_canvas_sorting_order","canvas_group_alpha","mask_ancestors"
"hero_bg_target","audit_row_no_patch","btn_discord__-4707263110286473242","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/btn_discord__-4707263110286473242","True","True","13","0","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,0","","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","109,-63","150,150","150,150","0.3,0.3,1","235.75,-63,0","0,0,0","True","351.025,512.622,410.554,546.639","351.025","512.622","410.554","546.639","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","btn_fight__-2785375320214897386","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/btn_fight__-2785375320214897386","True","True","9","0","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","0,0,0,0","","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","4.472,14","150,32","150,32","1,1,1","131.222,14,0","0,0,0","True","143.297,575.742,341.728,599.932","143.297","575.742","341.728","599.932","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","btn_naver__8714391652804370052","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/btn_naver__8714391652804370052","False","False","14","0","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,0","","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","-11,-63","150,150","150,150","0.3,0.3,1","115.75,-63,0","0,0,0","True","192.28,512.622,251.809,546.639","192.28","512.622","251.809","546.639","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","btn_twitter__3558219009155368301","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/btn_twitter__3558219009155368301","True","True","12","0","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,1","fid3_-7706873069668347874_btn_tt","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","49,-63","150,150","150,150","0.3,0.3,1","175.75,-63,0","0,0,0","True","271.653,512.622,331.182,546.639","271.653","512.622","331.182","546.639","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","btn_vip__3748989619259382803","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/btn_vip__3748989619259382803","True","True","3","2","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,0","","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","122.9,-7.6","0,50.8","0,50.8","1.1,1.1,1.1","249.65,-7.6,0","0,0,0","True","399.178,550.388,399.178,592.63","399.178","550.388","399.178","592.63","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","im_num__1092419888117874184","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/btn_vip__3748989619259382803/im_num__1092419888117874184","True","True","1","1","CanvasRenderer|Image|RectTransform","False","False","True","True","False","True","Default UI Material","1,1,1,1","fid3_-5488880583490615113_vip_lv_20","Simple","False","","","","0,0","0,0","0,0.5","0,0","29,20","29,20","1,1,1","0,-25.4,0","0,0,0","True","399.178,542.073,441.377,558.704","399.178","542.073","441.377","558.704","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","boxcollider__7124823643993104524","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/btn_vip__3748989619259382803/im_num__1092419888117874184/boxcollider__7124823643993104524","True","True","0","0","CanvasRenderer|Image|RectTransform|RestoreClickLogger","False","False","True","True","True","True","Default UI Material","1,1,1,0","","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","0,9.5","46.3,66.1","46.3,66.1","1,1,1","14.5,9.5,0","0,0,0","True","386.591,530.806,453.965,585.77","386.591","530.806","453.965","585.77","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","im_vip__-495318114904151918","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/btn_vip__3748989619259382803/im_vip__-495318114904151918","False","False","0","0","CanvasRenderer|Image|RectTransform","False","False","True","True","False","True","Default UI Material","1,1,1,1","fid3_4541435469818242821_VIP","Simple","False","","","","0,1","0,1","0.5,0.5","21.5,-15","43,21","43,21","1,1,1","21.5,10.4,0","0,0,0","True","399.178,571.426,461.75,588.888","399.178","571.426","461.75","588.888","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","btn_yueka__5767712389872575974","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/btn_yueka__5767712389872575974","False","False","4","0","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,1","fid1_-677092740074379320_multilang_IC_yueka","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","-171.328,25","41,42","41,42","1,1,1","-44.578,25,0","0,0,0","True","-17.168,580.278,37.07,612.027","-17.168","580.278","37.07","612.027","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","head_yuan150__641475810152133229","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/head_yuan150__641475810152133229","True","True","1","3","RectTransform","False","False","False","False","False","False","","","","","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","-113,1","0,0","0,0","0.7,0.7,0.7","13.75,1,0","0,0,0","True","87.111,578.01,87.111,578.01","87.111","578.01","87.111","578.01","False","0","","Canvas_MainInterface_1280x720","0","",""
