bundle,component_path_id,game_object_id,game_object_name,script_id,kind,keys
download/ui/uiprefabandres/maininterface.assetbundle,-8358797115357997715,4512528125967927824,text_youjian,-5755350681981302373,Text,checkPaddingRequired;m_Color;m_Enabled;m_GameObject;m_HorizontalAlignment;m_IsTextObjectScaleStatic;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;m_StyleSheet;m_TextStyleHashCode;m_VertexBufferAutoSizeReduction;m_VerticalAlignment;m_baseMaterial;m_charWidthMaxAdj;m_characterSpacing;m_colorMode;m_enableAutoSizing;m_enableExtraPadding;m_enableKerning;m_enableVertexGradient;m_enableWordWrapping;m_faceColor;m_fontAsset;m_fontColor;m_fontColor32;m_fontColorGradient;m_fontColorGradientPreset;m_fontMaterial;m_fontMaterials;m_fontSharedMaterials;m_fontSize;m_fontSizeBase;m_fontSizeMax;m_fontSizeMin;m_fontStyle;m_fontWeight;m_geometrySortingOrder;m_hasFontAssetChanged;m_horizontalMapping;m_isCullingEnabled;m_isOrthographic;m_isRichText;m_isRightToLeft;m_isUsingLegacyAnimationComponent;m_isVolumetricText;m_lineSpacing;m_lineSpacingMax;m_linkedTextComponent;m_margin;m_maskOffset;m_overflowMode;m_overrideHtmlColors;m_pageToDisplay;m_paragraphSpacing;m_parseCtrlCharacters;m_sharedMaterial;m_spriteAsset;m_text;m_textAlignment;m_tintAllSprites;m_useMaxVisibleDescender;m_uvLineOffset;m_verticalMapping;m_wordSpacing;m_wordWrappingRatios;parentLinkedComponent
download/ui/uiprefabandres/maininterface.assetbundle,-8349685501173178226,5711941155583718438,im_on,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8345742548080147690,1715590308689370597,Image,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8333487624683454272,4903906721866366800,toggle2,-3250829715501753706,MonoBehaviour,active;m_Enabled;m_GameObject;m_Name;m_Script;notActive;toggle
download/ui/uiprefabandres/maininterface.assetbundle,-8331512831223149198,7710113742555326664,sp_mainpage,-6938409698251234290,MonoBehaviour,additiveMaterial;allowMultipleCanvasRenderers;canvasRenderers;enableSeparatorSlots;freeze;initialFlipX;initialFlipY;initialSkinName;m_Color;m_Enabled;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;meshGenerator;multiplyMaterial;screenMaterial;separatorParts;separatorSlotNames;skeletonDataAsset;skipByPass;startingAnimation;startingLoop;timeScale;uihide;unscaledTime;updateSeparatorPartLocation;updateWhenInvisible
download/ui/uiprefabandres/maininterface.assetbundle,-8326302838980580607,-5167024943332202910,btn_head,-787143586316466668,Button,m_AnimationTriggers;m_Colors;m_Enabled;m_GameObject;m_Interactable;m_Name;m_Navigation;m_OnClick;m_Script;m_SpriteState;m_TargetGraphic;m_Transition
download/ui/uiprefabandres/maininterface.assetbundle,-8318630676036174251,2553992600669226189,text_wanfaTips,-5755350681981302373,Text,checkPaddingRequired;m_Color;m_Enabled;m_GameObject;m_HorizontalAlignment;m_IsTextObjectScaleStatic;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;m_StyleSheet;m_TextStyleHashCode;m_VertexBufferAutoSizeReduction;m_VerticalAlignment;m_baseMaterial;m_charWidthMaxAdj;m_characterSpacing;m_colorMode;m_enableAutoSizing;m_enableExtraPadding;m_enableKerning;m_enableVertexGradient;m_enableWordWrapping;m_faceColor;m_fontAsset;m_fontColor;m_fontColor32;m_fontColorGradient;m_fontColorGradientPreset;m_fontMaterial;m_fontMaterials;m_fontSharedMaterials;m_fontSize;m_fontSizeBase;m_fontSizeMax;m_fontSizeMin;m_fontStyle;m_fontWeight;m_geometrySortingOrder;m_hasFontAssetChanged;m_horizontalMapping;m_isCullingEnabled;m_isOrthographic;m_isRichText;m_isRightToLeft;m_isUsingLegacyAnimationComponent;m_isVolumetricText;m_lineSpacing;m_lineSpacingMax;m_linkedTextComponent;m_margin;m_maskOffset;m_overflowMode;m_overrideHtmlColors;m_pageToDisplay;m_paragraphSpacing;m_parseCtrlCharacters;m_sharedMaterial;m_spriteAsset;m_text;m_textAlignment;m_tintAllSprites;m_useMaxVisibleDescender;m_uvLineOffset;m_verticalMapping;m_wordSpacing;m_wordWrappingRatios;parentLinkedComponent
download/ui/uiprefabandres/maininterface.assetbundle,-8291296213969346447,-4968405805457616892,im_round,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8289974827608296739,-2944220183194553186,un_quality_7,-7396295067816475631,MonoBehaviour,m_AnimatableProperties;m_Color;m_Enabled;m_GameObject;m_IgnoreCanvasScaler;m_IsTrail;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_Particles;m_RaycastPadding;m_RaycastTarget;m_Scale;m_Scale3D;m_Script;m_ShrinkByMaterial;uihide
download/ui/uiprefabandres/maininterface.assetbundle,-8285597675448055735,8611650040139552239,text_off,-5755350681981302373,Text,checkPaddingRequired;m_Color;m_Enabled;m_GameObject;m_HorizontalAlignment;m_IsTextObjectScaleStatic;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;m_StyleSheet;m_TextStyleHashCode;m_VertexBufferAutoSizeReduction;m_VerticalAlignment;m_baseMaterial;m_charWidthMaxAdj;m_characterSpacing;m_colorMode;m_enableAutoSizing;m_enableExtraPadding;m_enableKerning;m_enableVertexGradient;m_enableWordWrapping;m_faceColor;m_fontAsset;m_fontColor;m_fontColor32;m_fontColorGradient;m_fontColorGradientPreset;m_fontMaterial;m_fontMaterials;m_fontSharedMaterials;m_fontSize;m_fontSizeBase;m_fontSizeMax;m_fontSizeMin;m_fontStyle;m_fontWeight;m_geometrySortingOrder;m_hasFontAssetChanged;m_horizontalMapping;m_isCullingEnabled;m_isOrthographic;m_isRichText;m_isRightToLeft;m_isUsingLegacyAnimationComponent;m_isVolumetricText;m_lineSpacing;m_lineSpacingMax;m_linkedTextComponent;m_margin;m_maskOffset;m_overflowMode;m_overrideHtmlColors;m_pageToDisplay;m_paragraphSpacing;m_parseCtrlCharacters;m_sharedMaterial;m_spriteAsset;m_text;m_textAlignment;m_tintAllSprites;m_useMaxVisibleDescender;m_uvLineOffset;m_verticalMapping;m_wordSpacing;m_wordWrappingRatios;parentLinkedComponent
