bundle,size,sha256,versionfile_res_offset,first_unityfs_offset,used_offset,is_prefix_obfuscated,clean_slice,status,object_count,type_counts
download/ui/uiprefabandres/maininterface_ext_act_other_1_1.assetbundle,68760,b67859aca9842e932ee29952006c10618c8f2dd0e4a8c71b9ed723032d1fc63e,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_1_1.assetbundle,ok,7,"{""Sprite"": 3, ""Texture2D"": 3, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_1_1_long.assetbundle,374935,bfe1496f34615dc424ead130e53d49555dcdc9e8ae2c1fad5e846113203ae6ee,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_1_1_long.assetbundle,ok,7,"{""Texture2D"": 3, ""Sprite"": 3, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_1_2.assetbundle,27345,c8e1585ee17463792f2e1d1d9bf4255f2be784c4caad04f59b4ed30ae19f525a,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_1_2.assetbundle,ok,3,"{""Texture2D"": 1, ""AssetBundle"": 1, ""Sprite"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_1_2_long.assetbundle,134430,ac67d6f39128fcc09e74ae232a251ee7ae9ffe227a7d7de7c8a16cd16f7440e4,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_1_2_long.assetbundle,ok,3,"{""Sprite"": 1, ""Texture2D"": 1, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_1_3.assetbundle,90462,796cf1dcb20f2219cedffa22e6666f0f5d24072db84c2423592dedf334a86b1b,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_1_3.assetbundle,ok,9,"{""Texture2D"": 4, ""Sprite"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_1_3_long.assetbundle,522246,72ebc5adac3a535ff50d75f038aad366ce12087206e5b72c0ba8902b5144974b,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_1_3_long.assetbundle,ok,9,"{""Texture2D"": 4, ""Sprite"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_2_1.assetbundle,88954,24153b8bd8c8b5b57eafffc600b4579cb5ce69d358a0e821a39d722e9b59ab08,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_2_1.assetbundle,ok,9,"{""Texture2D"": 4, ""Sprite"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_2_1_long.assetbundle,512745,5318eeee5c6eac48510634e7c0a37cc30d725921d58aec9b8039e316ed6eb01f,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_2_1_long.assetbundle,ok,9,"{""Texture2D"": 4, ""Sprite"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_2_2.assetbundle,176624,5717be870d05c2c24251ac97444056652abe5abf709f169b56abe7f1e9048f68,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_2_2.assetbundle,ok,17,"{""Sprite"": 8, ""Texture2D"": 8, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_2_2_long.assetbundle,1025888,72f1b7e0c2f1fc4cc5bad02aa5cacf64de086cfb13936493f2b82886e8eeadb3,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_2_2_long.assetbundle,ok,17,"{""Texture2D"": 8, ""Sprite"": 8, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_2_4.assetbundle,90903,5890f203f60794d437138e6d6cbd7f60aeb8bb55e873ebaca7cd22308fe40437,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_2_4.assetbundle,ok,9,"{""Texture2D"": 4, ""Sprite"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_2_4_long.assetbundle,516923,ec6585348920d0a3aa589e56d78038440d83b6478ff4e60c3bac41761f26d038,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_2_4_long.assetbundle,ok,9,"{""Texture2D"": 4, ""Sprite"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_3_2.assetbundle,70379,d934fdb08dc58846eeda913646c50d6f09f8d3d2e798d2bdf273ae9b9dfbe073,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_3_2.assetbundle,ok,7,"{""Texture2D"": 3, ""Sprite"": 3, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_3_2_long.assetbundle,386467,6199604deaab665a06792d26b45d7e44e9b7d455dc77a6a95650a009687aaa09,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_3_2_long.assetbundle,ok,7,"{""Texture2D"": 3, ""Sprite"": 3, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_3_3.assetbundle,91237,15dc5a9168faaac426534ad7f298a3834528eb42b1222136f576ba66fda1ab76,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_3_3.assetbundle,ok,9,"{""Sprite"": 4, ""Texture2D"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_3_3_long.assetbundle,506179,62fab1ef13935d3ef612567eaca28fd0103fffcc4f7471c53ba102e4e84f0fd0,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_3_3_long.assetbundle,ok,9,"{""Sprite"": 4, ""Texture2D"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_3_4.assetbundle,113107,263a634c8befc43f944428a0171ca66d2bf7381424d7ad0440350adec5cbf184,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_3_4.assetbundle,ok,11,"{""Sprite"": 5, ""Texture2D"": 5, ""AssetBundle"": 1}"
