feedId,title,artName,createdDate,articleUrl,imageUrl,matchStatus,matchedActorId,matchedKind,matchScore,phashDistance,histDistance,scoreGap,matchedLocalPath
3165462,소녀전쟁 | UR 예카테리나 원화,예카테리나 원화,20231124192007,https://game.naver.com/lounge/girlwars/board/detail/3165462,https://nng-phinf.pstatic.net/MjAyMzExMjRfMTcy/MDAxNzAwODIxMTcwNDI3.ddyf7KJ-m12njZNT-LeUInZkhn3IRVqWMF-GP-iQICQg.GNd2j1yTUX0gn5GErNwkseY31d2DH8XMgjWZXnMbhjQg.JPEG/%EC%98%88%EC%B9%B4%ED%85%8C%EB%A6%AC%EB%82%98.jpg?type=w1678,candidate,1042,T_ditu,39.701,24,1.3084,0.656,girlswar_merged_extracted/extracted/unity/bundles/b_760c09143bc33162/images/T/-7798355562941549076_T_ditu_marry_1042.png
3165449,소녀전쟁 | 메데이아 원화,메데이아 원화,20231124191747,https://game.naver.com/lounge/girlwars/board/detail/3165449,https://nng-phinf.pstatic.net/MjAyMzExMjRfMTQg/MDAxNzAwODIwOTMzODc1.22OH9v9kqtPLtyGnmVmEf1dW0_GQ026rAyzMQX-tBzIg.IrwtblFL3Mxx6QDt_MX1aTNoNAgtN5lE7QrC9AiTwvAg.JPEG/%EB%A9%94%EB%8D%B0%EC%9D%B4%EC%95%84.jpg?type=w1678,candidate,1024,T_ditu,37.167,24,1.0972,4.435,girlswar_merged_extracted/extracted/unity/bundles/b_5f6cb0fbb7b8bc63/images/T/9036059815017238302_T_ditu_1024.png
3165430,소녀전쟁 | 장비 원화,장비 원화,20231124191455,https://game.naver.com/lounge/girlwars/board/detail/3165430,https://nng-phinf.pstatic.net/MjAyMzExMjRfMTkx/MDAxNzAwODIwNzk2NDMw.GG1g7Oim1E65srJviCHBoZv9HoD0QdyK6ldG6av3uxUg.gQpttyUnu8_wopgTTqGYl9F_DB-AmD8C7dv-bZzZkQ0g.JPEG/%EC%9E%A5%EB%B9%84.jpg?type=w1678,candidate,21025,T_ditu,36.266,26,0.8555,0.302,girlswar_merged_extracted/extracted/unity/bundles/b_d01d992c5d762312/images/T/5654508533444309310_T_ditu_21025.png
2900931,소녀전쟁 | 시즈카 고젠 원화,시즈카 고젠 원화,20231012161350,https://game.naver.com/lounge/girlwars/board/detail/2900931,https://nng-phinf.pstatic.net/MjAyMzEwMTJfMjEx/MDAxNjk3MDk0NzQ3Mjk2.nWr3CXlXM55_Em4mwS0uq0dVXGSvV-6lwkk0Zi7vPhwg.vUc84-wlgV7YUWhFvFqkL90d8msYQHe1Y1lusRqCe3Yg.JPEG/%EC%8B%9C%EC%A6%88%EC%B9%B4%EA%B3%A0%EC%A0%A0.jpg?type=w1678,candidate,1013,T_ditu,34.18,26,0.6816,2.372,girlswar_merged_extracted/extracted/unity/bundles/b_c85cc1cd0d16d65a/images/T/-855995676461250147_T_ditu_1013.png
2794272,소녀전쟁 | 잔 다르크 원화,잔 다르크 원화,20230918141613,https://game.naver.com/lounge/girlwars/board/detail/2794272,https://nng-phinf.pstatic.net/MjAyMzA5MThfMTk5/MDAxNjk1MDE0MTUwOTI3.jfJfw47xK3ZcnbQMWza1wkQVCaI788UUXFX9mD7S6NAg.tqshhOnDRI7J5itjS69ldjXAQiNIDFCjZlN6N_gbp88g.PNG/%EC%9E%94%EB%8B%A4%EB%A5%B4%ED%81%AC.png?type=w1678,candidate,1056,Painting,31.789,22,0.6908,4.453,girlswar_merged_extracted/extracted/unity/bundles/b_255f3c2f548b9c6d/images/T/-7135181157718943892_Painting_1056.png
2713741,소녀전쟁 | 타케바나 한베에 원화,타케바나 한베에 원화,20230901144749,https://game.naver.com/lounge/girlwars/board/detail/2713741,https://nng-phinf.pstatic.net/MjAyMzA5MDFfNTMg/MDAxNjkzNTQ3MTA3OTAz.npuIabuEIxC0_OKaHTEb_UC-LXVYNHIMeB7IZ3SPT5Qg.ZOxQKB0cqXn7xJ5YdRLhAmmlwbp6m2AT3PKyg7EziTcg.JPEG/%ED%95%9C%EB%B2%A0%EC%97%90.jpg?type=w1678,candidate,1036,T_ditu,38.573,24,1.2144,1.247,girlswar_merged_extracted/extracted/unity/bundles/b_2516176d6c2b7cc4/images/T/8836626965277414394_T_ditu_1036.png
2630300,소녀전쟁 | 프랑켄슈타인 원화,프랑켄슈타인 원화,20230817140032,https://game.naver.com/lounge/girlwars/board/detail/2630300,https://nng-phinf.pstatic.net/MjAyMzA4MTZfOTgg/MDAxNjkyMTY4MzM4OTEw.fvWMLFr7UM9UGIAAvsqSZUtb1STm5FI_Y3mFoPJKqm0g.baZ6lLPRDg72VMhig74O3IEghe5XDTY3uUBqlKHoTUwg.JPEG/%ED%94%84%EB%9E%91%EC%BC%84%EC%8A%88%ED%83%80%EC%9D%B8.jpg?type=w1678,candidate,21044,T_ditu,33.984,22,0.9987,1.841,girlswar_merged_extracted/extracted/unity/bundles/b_5883cd0da98abe66/images/T/1530649197991374555_T_ditu_21044.png
2480107,소녀전쟁 | 조조 원화,조조 원화,20230801150454,https://game.naver.com/lounge/girlwars/board/detail/2480107,https://nng-phinf.pstatic.net/MjAyMzA4MDFfMTg0/MDAxNjkwODY5NzYzNjUw.6RBp2blYABpzgyaDAqJv8ctiqCg4o5-TCvq6SXgIIz0g.ZgKjIsXKurBVATHJx2CknsUvTZLbifogohw1Tbb4I54g.JPEG/%EC%A1%B0%EC%A1%B0.jpg?type=w1678,candidate,1021,T_ditu,37.81,26,0.9842,3.216,girlswar_merged_extracted/extracted/unity/bundles/b_d62a698123ae6448/images/T/-1086953567837815546_T_ditu_1021.png
2474314,소녀전쟁 | 다치바나 무네시게 원화,다치바나 무네시게 원화,20230731164448,https://game.naver.com/lounge/girlwars/board/detail/2474314,https://nng-phinf.pstatic.net/MjAyMzA3MzFfNjkg/MDAxNjkwNzg0NjI1NjM5.dXt0_Px82oErpzFMy8OsRZE2WtETAIeHPWARj1RYpX8g.u0eU-STMf76HbT3wO7pX-SNR19JGy0Gzt49a4Q7ShQsg.JPEG/%EB%8B%A4%EC%B9%98%EB%B0%94%EB%82%98%EB%AC%B4%EB%84%A4%EC%8B%9C%EA%B2%8C.jpg?type=w1678,candidate,1064,T_ditu,30.94,22,0.745,2.706,girlswar_merged_extracted/extracted/unity/bundles/b_848790ddd340563c/images/T/5499165403378118773_T_ditu_1064.png
2380853,소녀전쟁 | 베어울프 원화,베어울프 원화,20230717120515,https://game.naver.com/lounge/girlwars/board/detail/2380853,https://nng-phinf.pstatic.net/MjAyMzA3MTRfOCAg/MDAxNjg5MzIyNjAzNTQ5.fWgp4FfWAJ1ePB8yPXvr5pzIDp4yhOlIWhIinDhL8CMg.-ILxeR7nlZfTpwyLOLhK2GXZxUiggN1BIpFH41SRT-0g.JPEG/%EB%B2%A0%EC%96%B4%EC%9A%B8%ED%94%84.jpg?type=w1678,candidate,1062,Painting,34.477,24,0.748,4.24,girlswar_merged_extracted/extracted/unity/bundles/b_eed7f0324c476cf2/images/T/5659871538832641374_Painting_1062.png
2315268,소녀전쟁 | 미야모토 무사시 원화,미야모토 무사시 원화,20230703152408,https://game.naver.com/lounge/girlwars/board/detail/2315268,https://nng-phinf.pstatic.net/MjAyMzA3MDNfOTEg/MDAxNjg4MzY1MzgzOTYx.NIRAoI4gpO9ycpNdCwyGgVDG0UNx1CNsyzKv8rNGhggg.uxo295jyauiACN8w0dNVNuvBqYQVXutkMtAEgH7a3T4g.JPEG/%EB%AC%B4%EC%82%AC%EC%8B%9C.jpg?type=w1678,candidate,31111,T_ditu,36.745,22,1.2287,4.557,girlswar_merged_extracted/extracted/unity/bundles/b_21aedf94e9958bc4/images/T/7608175649476763380_T_ditu_31111.png
2292152,소녀전쟁 | 진시황 원화,진시황 원화,20230629172128,https://game.naver.com/lounge/girlwars/board/detail/2292152,https://nng-phinf.pstatic.net/MjAyMzA2MjlfMjk2/MDAxNjg4MDI2ODA3NTQ1.7L7mU3FRdS_huMYwZCI5Ahz9f7qOcpZJmwMMSYfQjxEg.RWsg6ApPOH_bhcorJN45Vo67bbisMkx3JkpnKljlGMog.JPEG/%EC%A7%84%EC%8B%9C%ED%99%A9.jpg?type=w1678,candidate,1060,T_ditu,38.081,24,1.1734,0.919,girlswar_merged_extracted/extracted/unity/bundles/b_a6b04bfb78edd9c6/images/T/-9043081610622028249_T_ditu_1060.png
2292093,소녀전쟁 | 사사키 코지로,사사키 코지로,20230629171408,https://game.naver.com/lounge/girlwars/board/detail/2292093,https://nng-phinf.pstatic.net/MjAyMzA2MjlfMjUx/MDAxNjg4MDI1MjE1OTk4.CcXOBCR82V69JTates8mOuSgoRMRQBMKfvkBGY0-h1wg.j2SW6Ead4RL4Bdss30Putj8i31Nx5KB18Br5gRFGJGQg.JPEG/%EC%82%AC%EC%82%AC%ED%82%A4%EC%BD%94%EC%A7%80%EB%A1%9C.jpg?type=w1678,medium,31015,T_ditu,33.164,18,1.2637,1.531,girlswar_merged_extracted/extracted/unity/bundles/b_7d0c32809c2e81b2/images/T/-6412873092244107664_T_ditu_31015.png
2292086,소녀전쟁 | 알렉산더 원화,알렉산더 원화,20230629171329,https://game.naver.com/lounge/girlwars/board/detail/2292086,https://nng-phinf.pstatic.net/MjAyMzA2MjlfMTkz/MDAxNjg4MDI1MDIyOTM5.ewLL9MG4ZgXh_ic8utN39qyqE4o-ocp3wgZNQZhcZAQg.2PoAiwNLUouuxlMseNcymYWp0DPNOs6ZNFrQSEHydPUg.JPEG/%EC%95%8C%EB%A0%89%EC%82%B0%EB%8D%94.jpg?type=w1678,candidate,1021,T_ditu,35.456,22,1.1213,2.711,girlswar_merged_extracted/extracted/unity/bundles/b_d62a698123ae6448/images/T/-1086953567837815546_T_ditu_1021.png
2292079,소녀전쟁 | 관우 원화,관우 원화,20230629171253,https://game.naver.com/lounge/girlwars/board/detail/2292079,https://nng-phinf.pstatic.net/MjAyMzA2MjlfMjQw/MDAxNjg4MDI0NzI0NTcz.s6k3oJdqc4cQSEOLWGabVour8aZwx-BlQqeXlBs7t90g.XXHWM-IKAdQdlm96qldcL0oe0rmzVMOg2V_13foRxqcg.JPEG/%EA%B4%80%EC%9A%B0.jpg?type=w1678,candidate,21049,T_ditu,35.99,20,1.3325,5.216,girlswar_merged_extracted/extracted/unity/bundles/b_7e20716a1848baa0/images/T/-7592403483454860029_T_ditu_21049.png
2292074,소녀전쟁 | 초선 원화,초선 원화,20230629171220,https://game.naver.com/lounge/girlwars/board/detail/2292074,https://nng-phinf.pstatic.net/MjAyMzA2MjlfMjk2/MDAxNjg4MDIyODUxNzE0.LGXM51q3GbukQ_GNsZ4st9cq0knvcNA6S7IT_9DJmvog.PJWAeSGEas_A8sXIAMxxYG9L8FkufuyUPSMriTa_4RUg.PNG/%EC%B4%88%EC%84%A0.png?type=w1678,candidate,1009,T_ditu,37.875,28,0.8229,0.185,girlswar_merged_extracted/extracted/unity/bundles/b_a523c41f7c579b2d/images/T/-163515760831450490_T_ditu_1009.png
2292067,소녀전쟁 | 여포 원화,여포 원화,20230629171136,https://game.naver.com/lounge/girlwars/board/detail/2292067,https://nng-phinf.pstatic.net/MjAyMzA2MjlfMTQ0/MDAxNjg4MDIyNjUzNDk0.QpvG1-w7C8MyHX5tF5wbr_lfH9VT117_jNz_Bm6DlcIg.mtW-SgKnca14YjnilgU21gLhs83U0cQYO_DbbsCUVicg.JPEG/%EC%97%AC%ED%8F%AC.jpg?type=w1678,candidate,1003,T_ditu,41.745,28,1.1454,0.151,girlswar_merged_extracted/extracted/unity/bundles/b_8b3d57fee82a9285/images/T/1839393199856367028_T_ditu_1003.png
2292060,소녀전쟁 | 징기스칸 원화,징기스칸 원화,20230629171104,https://game.naver.com/lounge/girlwars/board/detail/2292060,https://nng-phinf.pstatic.net/MjAyMzA2MjlfNzQg/MDAxNjg4MDI0NTgyODI5.IcHkkusxR62Q5ah8lXx6ssdN6uL8EBsk4l9-9rfxO8Yg.m_wXRffjbzV9DDfbrNeO6OL5H073YmWxYI5NGfX2n60g.JPEG/%EC%A7%95%EA%B8%B0%EC%8A%A4%EC%B9%B8.jpg?type=w1678,candidate,21049,T_ditu,32.833,20,1.0694,2.456,girlswar_merged_extracted/extracted/unity/bundles/b_7e20716a1848baa0/images/T/-7592403483454860029_T_ditu_21049.png
2292055,소녀전쟁 | 아서왕 원화,아서왕 원화,20230629171026,https://game.naver.com/lounge/girlwars/board/detail/2292055,https://nng-phinf.pstatic.net/MjAyMzA2MjlfMTI4/MDAxNjg4MDIxOTk4MDU1.idfdY79ZpQLx3-O_4gBtIB1u6D9m9ExEsFca6aS6ZWcg.i0URUcmT7KHSh5VtN1ml642jX-_rh81KHnCCJkkC5-0g.JPEG/%EC%95%84%EC%84%9C%EC%99%95.jpg?type=w1678,candidate,1042,T_ditu,40.81,28,1.0675,0.143,girlswar_merged_extracted/extracted/unity/bundles/b_760c09143bc33162/images/T/-1813499788123703046_T_ditu_1042.png
